Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,-2.0000,0.0000,-2.0000,-0.7437,0.0383,-0.7055,2.2461
0.007,-2.0000,0.0000,-2.0000,-0.7570,0.0383,-0.7187,2.2461
0.011,-2.0000,0.0000,-2.0000,-0.7635,0.0346,-0.7289,2.0315
0.015,-2.0000,0.0000,-2.0000,-0.7706,0.0346,-0.7360,2.0315
0.018,-2.0000,0.0000,-2.0000,-0.7765,0.0346,-0.7419,2.0315
0.022,-2.0000,0.0000,-2.0000,-0.7832,0.0346,-0.7485,2.0315
0.025,-2.0000,0.0000,-2.0000,-0.7891,0.0346,-0.7545,2.0315
0.029,-2.0000,0.0000,-2.0000,-0.7954,0.0346,-0.7608,2.0315
0.033,-2.0000,0.0000,-2.0000,-0.8014,0.0317,-0.7697,2.0378
0.037,-2.0000,0.0000,-2.0000,-0.8083,0.0317,-0.7767,2.0378
0.040,-2.0000,0.0000,-2.0000,-0.8143,0.0317,-0.7826,2.0378
0.044,-2.0000,0.0000,-2.0000,-0.8205,0.0317,-0.7889,2.0378
0.047,-2.0000,0.0000,-2.0000,-0.8264,0.0317,-0.7947,2.0378
0.051,-2.0000,0.0000,-2.0000,-0.8321,0.0282,-0.8039,1.6061
0.055,-2.0000,0.0000,-2.0000,-0.8395,0.0282,-0.8113,1.6061
0.059,-2.0000,0.0000,-2.0000,-0.8463,0.0282,-0.8181,1.6061
0.070,-2.0000,0.0000,-2.0000,-0.8656,0.0255,-0.8401,1.6180
0.083,-2.0000,0.0000,-2.0000,-0.8864,0.0255,-0.8609,1.6180
0.089,-2.0000,0.0000,-2.0000,-0.8971,0.0255,-0.8716,1.6180
0.093,-2.0000,0.0000,-2.0000,-0.9034,0.0228,-0.8806,1.4374
0.098,-2.0000,0.0000,-2.0000,-0.9104,0.0228,-0.8876,1.4374
0.102,-2.0000,0.0000,-2.0000,-0.9162,0.0228,-0.8934,1.4374
0.106,-2.0000,0.0000,-2.0000,-0.9229,0.0228,-0.9001,1.4374
0.110,-2.0000,0.0000,-2.0000,-0.9284,0.0203,-0.9081,1.2676
0.115,-2.0000,0.0000,-2.0000,-0.9354,0.0203,-0.9151,1.2676
0.118,-2.0000,0.0000,-2.0000,-0.9405,0.0203,-0.9203,1.2676
0.123,-2.0000,0.0000,-2.0000,-0.9471,0.0203,-0.9269,1.2676
0.127,-2.0000,0.0000,-2.0000,-0.9526,0.0203,-0.9324,1.2676
0.131,-2.0000,0.0000,-2.0000,-0.9583,0.0179,-0.9404,1.1059
0.135,-2.0000,0.0000,-2.0000,-0.9645,0.0179,-0.9465,1.1059
0.139,-2.0000,0.0000,-2.0000,-0.9713,0.0179,-0.9534,1.1059
0.143,-2.0000,0.0000,-2.0000,-0.9771,0.0179,-0.9592,1.1059
0.146,-2.0000,0.0000,-2.0000,-0.9834,0.0179,-0.9655,1.1059
0.150,-2.0000,0.0000,-2.0000,-0.9892,0.0156,-0.9736,1.1139
0.155,-2.0000,0.0000,-2.0000,-0.9976,0.0156,-0.9820,1.1139
0.158,-2.0000,0.0000,-2.0000,-1.0038,0.0156,-0.9882,1.1139
0.162,-2.0000,0.0000,-2.0000,-1.0105,0.0156,-0.9950,1.1139
0.165,-2.0000,0.0000,-2.0000,-1.0170,0.0156,-1.0014,1.1139
0.170,-2.0000,0.0000,-2.0000,-1.0260,0.0135,-1.0124,0.9531
0.174,-2.0000,0.0000,-2.0000,-1.0345,0.0135,-1.0210,0.9531
0.178,-2.0000,0.0000,-2.0000,-1.0427,0.0135,-1.0292,0.9531
0.189,-2.0000,0.0000,-2.0000,-1.0654,0.0135,-1.0519,0.9531
0.193,-2.0000,0.0000,-2.0000,-1.0740,0.0113,-1.0626,0.9548
0.197,-2.0000,0.0000,-2.0000,-1.0824,0.0113,-1.0711,0.9548
0.201,-2.0000,0.0000,-2.0000,-1.0906,0.0113,-1.0793,0.9548
0.205,-2.0000,0.0000,-2.0000,-1.0989,0.0113,-1.0876,0.9548
0.209,-2.0000,0.0000,-2.0000,-1.1078,0.0113,-1.0965,0.9548
0.213,-1.9947,0.0000,-1.9947,-1.1159,0.0000,-1.1159,0.7918
0.225,-1.9399,0.0000,-1.9399,-1.1444,0.0000,-1.1444,0.7918
0.229,-1.9202,0.0000,-1.9202,-1.1550,0.0000,-1.1550,0.7885
0.234,-1.9017,0.0000,-1.9017,-1.1655,0.0000,-1.1655,0.7885
0.238,-1.8857,0.0000,-1.8857,-1.1749,0.0000,-1.1749,0.7885
0.242,-1.8694,0.0000,-1.8694,-1.1849,0.0000,-1.1849,0.7885
0.245,-1.8551,0.0000,-1.8551,-1.1939,0.0000,-1.1939,0.7885
0.249,-1.8390,0.0000,-1.8390,-1.2044,0.0000,-1.2044,0.7885
0.253,-1.8245,0.0000,-1.8245,-1.2143,0.0000,-1.2143,0.7005
0.257,-1.8064,0.0000,-1.8064,-1.2271,0.0000,-1.2271,0.7005
0.261,-1.7932,0.0000,-1.7932,-1.2369,0.0000,-1.2369,0.7005
0.265,-1.7780,0.0000,-1.7780,-1.2484,0.0000,-1.2484,0.7005
0.268,-1.7646,0.0000,-1.7646,-1.2589,0.0000,-1.2589,0.7005
0.272,-1.7491,0.0000,-1.7491,-1.2715,0.0000,-1.2715,0.6872
0.276,-1.7343,0.0000,-1.7343,-1.2840,0.0000,-1.2840,0.6872
0.281,-1.7188,0.0000,-1.7188,-1.2974,0.0000,-1.2974,0.6872
0.284,-1.7051,0.0000,-1.7051,-1.3095,0.0000,-1.3095,0.6872
0.297,-1.6605,0.0000,-1.6605,-1.3517,0.0000,-1.3517,0.5899
0.301,-1.6447,0.0000,-1.6447,-1.3670,0.0000,-1.3670,0.5899
0.305,-1.5889,0.0000,-1.5889,-1.3814,0.0000,-1.3814,0.5899
0.309,-1.5778,0.0000,-1.5778,-1.3935,0.0000,-1.3935,0.5899
0.313,-1.5639,0.0000,-1.5639,-1.4089,0.0000,-1.4089,0.5681
0.318,-1.5493,0.0000,-1.5493,-1.4255,0.0000,-1.4255,0.5681
0.322,-1.5351,0.0000,-1.5351,-1.4426,0.0000,-1.4426,0.5681
0.326,-1.5242,0.0000,-1.5242,-1.4562,0.0000,-1.4562,0.5681
0.330,-1.4705,0.0000,-1.4705,-1.4728,0.0000,-1.4728,0.5400
0.334,-1.4591,0.0000,-1.4591,-1.4893,0.0000,-1.4893,0.5400
0.338,-1.4475,0.0000,-1.4475,-1.5068,0.0000,-1.5068,0.5400
0.342,-1.4372,0.0000,-1.4372,-1.5229,0.0000,-1.5229,0.5400
0.345,-1.4273,0.0000,-1.4273,-1.5389,0.0000,-1.5389,0.5400
0.349,-1.4169,0.0000,-1.4169,-1.5565,0.0000,-1.5565,0.5400
0.353,-1.4059,0.0000,-1.4059,-1.5757,0.0000,-1.5757,0.5063
0.358,-1.3408,0.0000,-1.3408,-1.6016,0.0000,-1.6016,0.5063
0.362,-1.3303,0.0000,-1.3303,-1.6238,0.0000,-1.6238,0.5063
0.366,-1.3214,0.0000,-1.3214,-1.6429,0.0000,-1.6429,0.5063
0.379,-1.2901,0.0000,-1.2901,-1.7166,0.0000,-1.7166,0.3971
0.384,-1.2772,0.0000,-1.2772,-1.7479,0.0000,-1.7479,0.3971
0.389,-1.2655,0.0000,-1.2655,-1.7773,0.0000,-1.7773,0.3971
0.400,-1.1326,0.0000,-1.1326,-1.8474,0.0000,-1.8474,0.3587
0.406,-1.1225,0.0000,-1.1225,-1.8837,0.0000,-1.8837,0.3587
0.409,-1.1158,0.0000,-1.1158,-1.9087,0.0000,-1.9087,0.3587
0.413,-1.1085,0.0000,-1.1085,-1.9371,0.0000,-1.9371,0.2509
0.417,-1.1014,0.0000,-1.1014,-1.9660,0.0000,-1.9660,0.2509
0.422,-1.0922,0.0000,-1.0922,-2.0000,0.0000,-2.0000,0.2509
0.427,-1.0845,0.0000,-1.0845,-2.0000,0.0000,-2.0000,0.2509
0.431,-1.0778,0.0000,-1.0778,-2.0000,0.0000,-2.0000,0.2100
0.436,-1.0689,0.0000,-1.0689,-2.0000,0.0000,-2.0000,0.2100
0.440,-1.0620,0.0000,-1.0620,-2.0000,0.0000,-2.0000,0.2100
0.445,-1.0543,0.0000,-1.0543,-2.0000,0.0000,-2.0000,0.2100
0.448,-1.0487,0.0000,-1.0487,-2.0000,0.0000,-2.0000,0.2100
0.453,-1.0409,0.0000,-1.0409,-2.0000,0.0000,-2.0000,0.1661
0.457,-1.0342,0.0000,-1.0342,-2.0000,0.0000,-2.0000,0.1661
0.462,-1.0273,0.0000,-1.0273,-2.0000,0.0000,-2.0000,0.1661
0.465,-0.9888,0.0000,-0.9888,-2.0000,0.0000,-2.0000,0.1661
0.469,-0.9827,0.0000,-0.9827,-2.0000,0.0000,-2.0000,0.1661
0.473,-0.9775,0.0000,-0.9775,-2.0000,0.0000,-2.0000,0.1201
0.477,-0.9711,0.0000,-0.9711,-2.0000,0.0000,-2.0000,0.1201
0.481,-0.9665,0.0000,-0.9665,-2.0000,0.0000,-2.0000,0.1201
0.485,-0.9198,0.0000,-0.9198,-2.0000,0.0000,-2.0000,0.1201
0.489,-0.9144,0.0000,-0.9144,-2.0000,0.0000,-2.0000,0.1201
