Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,-0.2841,-0.1874,-0.1219,-3.2156,-0.1663,-0.1663,-3.4424,-0.3080,0.1040
0.013,-0.4625,-0.1673,-0.1219,-3.1588,-0.1604,-0.1604,-3.4424,-0.3098,0.1040
0.022,-0.3573,-0.1673,-0.1219,-3.0545,-0.1604,-0.1604,-3.4766,-0.3098,0.1040
0.033,-0.4805,-0.1477,-0.1219,-3.0062,-0.1546,-0.1546,-3.4766,-0.3129,0.1040
0.042,-0.3544,-0.1477,-0.1219,-2.9018,-0.1546,-0.1546,-3.5023,-0.3129,0.1040
0.052,-0.4394,-0.1279,-0.1219,-2.8572,-0.1490,-0.1490,-3.5023,-0.3152,0.1040
0.061,-0.3059,-0.1279,-0.1219,-2.7484,-0.1490,-0.1490,-3.5532,-0.3152,0.1040
0.071,-0.3604,-0.1097,-0.1219,-2.7014,-0.1432,-0.1432,-3.5532,-0.3198,0.1040
0.081,-0.2112,-0.1097,-0.1219,-2.5910,-0.1432,-0.1432,-3.5992,-0.3198,0.1040
0.091,-0.2252,-0.0930,-0.1219,-2.5422,-0.1377,-0.1377,-3.5992,-0.3239,0.1040
0.101,-0.0470,-0.0930,-0.1219,-2.4431,-0.1377,-0.1377,-3.6228,-0.3239,0.1040
0.119,0.1857,-0.0777,-0.1219,-2.2966,-0.1327,-0.1327,-3.6200,-0.3261,0.1040
0.132,0.2938,-0.0636,-0.1209,-2.2266,-0.1284,-0.1284,-3.6200,-0.3258,0.1040
0.145,0.5951,-0.0636,-0.1202,-2.1202,-0.1284,-0.1284,-3.5860,-0.3258,0.1040
0.157,0.7170,-0.0490,-0.1190,-2.0574,-0.1247,-0.1247,-3.5860,-0.3227,0.1040
0.166,0.9844,-0.0490,-0.1180,-1.9717,-0.1247,-0.1247,-3.5195,-0.3227,0.1040
0.176,1.0749,-0.0332,-0.1171,-1.9151,-0.1216,-0.1216,-3.5195,-0.3168,0.1040
0.186,1.3360,-0.0332,-0.1163,-1.8231,-0.1216,-0.1216,-3.4814,-0.3168,0.1040
0.195,1.4129,-0.0168,-0.1155,-1.7647,-0.1182,-0.1182,-3.4814,-0.3133,0.1040
0.205,1.6688,-0.0168,-0.1147,-1.6673,-0.1182,-0.1182,-3.4617,-0.3133,0.1040
0.215,1.7450,0.0000,-0.1139,-1.5958,-0.1146,-0.1146,-3.4617,-0.3116,0.1040
0.224,1.9940,0.0000,-0.1130,-1.4955,-0.1146,-0.1146,-3.4263,-0.3116,0.1040
0.235,2.0573,0.0169,-0.1123,-1.4213,-0.1113,-0.1113,-3.4263,-0.3084,0.1040
0.244,2.3028,0.0169,-0.1115,-1.3226,-0.1113,-0.1113,-3.3396,-0.3084,0.1040
0.253,2.3562,0.0340,-0.1108,-1.2442,-0.1089,-0.1089,-3.3396,-0.3006,0.1040
0.263,2.5984,0.0340,-0.1101,-1.1393,-0.1089,-0.1089,-3.2232,-0.3006,0.1040
0.272,2.6456,0.0513,-0.1091,-1.0510,-0.1069,-0.1069,-3.2232,-0.2901,0.1040
0.282,2.8856,0.0513,-0.1081,-0.9327,-0.1069,-0.1069,-3.0768,-0.2901,0.1040
0.295,2.7318,0.0687,-0.1070,-0.7972,-0.1052,-0.1052,-3.0768,-0.2769,0.1040
0.306,2.6605,0.0687,-0.1056,-0.6600,-0.1052,-0.1052,-2.9009,-0.2769,0.1040
0.316,2.4072,0.0862,-0.1043,-0.6708,-0.1038,-0.1038,-2.9009,-0.2611,0.1040
0.326,2.3629,0.0862,-0.1031,-0.8348,-0.1038,-0.1038,-2.6962,-0.2611,0.1040
0.337,2.0793,0.1040,-0.1019,-1.2473,-0.1027,-0.1027,-2.6962,-0.2427,0.1040
0.347,2.0466,0.1040,-0.1005,-1.6380,-0.1027,-0.1027,-2.4639,-0.2427,0.1040
0.357,1.8173,0.1219,-0.0993,-2.0064,-0.1018,-0.1018,-2.4639,-0.2218,0.1040
0.367,1.8043,0.1219,-0.0980,-2.3049,-0.1018,-0.1018,-2.2256,-0.2218,0.1040
0.377,1.6022,0.1397,-0.0966,-2.5730,-0.1007,-0.1007,-2.2256,-0.2003,0.1040
0.386,1.6262,0.1397,-0.0953,-2.7614,-0.1007,-0.1007,-1.9994,-0.2003,0.1040
0.397,1.4411,0.1574,-0.0940,-2.9515,-0.0992,-0.0992,-1.9994,-0.1799,0.1040
