Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,0.0000,0.0000,0.0000,-5.1023,0.1978,-4.9045,1.0117
0.007,0.0000,0.0000,0.0000,-5.0687,0.1978,-4.8708,1.0117
0.010,0.0000,0.0000,0.0000,-5.0514,0.1868,-4.8646,0.9031
0.014,0.0000,0.0000,0.0000,-5.0306,0.1868,-4.8438,0.9031
0.018,0.0000,0.0000,0.0000,-5.0122,0.1868,-4.8254,0.9031
0.022,0.0000,0.0000,0.0000,-4.9930,0.1868,-4.8062,0.9031
0.025,0.0000,0.0000,0.0000,-4.9717,0.1868,-4.7849,0.9031
0.029,0.0000,0.0000,0.0000,-4.9523,0.1868,-4.7655,0.9031
0.032,0.0000,0.0000,0.0000,-4.9320,0.1774,-4.7546,0.8594
0.037,0.0000,0.0000,0.0000,-4.9074,0.1774,-4.7300,0.8594
0.040,0.0000,0.0000,0.0000,-4.8862,0.1774,-4.7087,0.8594
0.043,0.0000,0.0000,0.0000,-4.8659,0.1774,-4.6884,0.8594
0.047,0.0000,0.0000,0.0000,-4.8451,0.1774,-4.6677,0.8594
0.050,0.0000,0.0000,0.0000,-4.8235,0.1774,-4.6460,0.8594
0.054,0.0000,0.0000,0.0000,-4.7985,0.1657,-4.6328,0.6843
0.058,0.0000,0.0000,0.0000,-4.7712,0.1657,-4.6055,0.6843
0.062,0.0000,0.0000,0.0000,-4.7474,0.1657,-4.5817,0.6843
0.072,0.0000,0.0162,0.0162,-4.6756,0.1529,-4.5227,0.3972
0.076,0.0000,0.0162,0.0162,-4.6465,0.1529,-4.4936,0.3972
0.079,0.0000,0.0162,0.0162,-4.6224,0.1529,-4.4695,0.3972
0.083,0.0000,0.0162,0.0162,-4.5969,0.1529,-4.4440,0.3972
0.094,0.0000,0.0263,0.0263,-4.5107,0.1424,-4.3683,0.2135
0.099,0.0000,0.0263,0.0263,-4.4686,0.1424,-4.3262,0.2135
0.103,0.0000,0.0263,0.0263,-4.4403,0.1424,-4.2979,0.2135
0.107,0.0000,0.0263,0.0263,-4.4130,0.1424,-4.2706,0.2135
0.110,0.0000,0.0263,0.0263,-4.3872,0.1424,-4.2448,0.2135
0.113,0.0000,0.0355,0.0355,-4.3602,0.1327,-4.2275,0.0411
0.118,0.0000,0.0355,0.0355,-4.3260,0.1327,-4.1933,0.0411
0.121,0.0000,0.0355,0.0355,-4.2969,0.1327,-4.1642,0.0411
0.125,0.0000,0.0355,0.0355,-4.2701,0.1327,-4.1374,0.0411
0.128,0.0000,0.0355,0.0355,-4.2424,0.1327,-4.1098,0.0411
0.132,0.0000,0.0427,0.0427,-4.2143,0.1237,-4.0905,-0.1020
0.136,0.0000,0.0427,0.0427,-4.1802,0.1237,-4.0565,-0.1020
0.139,0.0000,0.0427,0.0427,-4.1526,0.1237,-4.0289,-0.1020
0.143,0.0000,0.0427,0.0427,-4.1262,0.1237,-4.0025,-0.1020
0.146,0.0000,0.0427,0.0427,-4.0983,0.1237,-3.9746,-0.1020
0.149,0.0000,0.0427,0.0427,-4.0690,0.1237,-3.9452,-0.1020
0.153,0.0000,0.0492,0.0492,-4.0383,0.1154,-3.9229,-0.2362
0.157,0.0000,0.0492,0.0492,-4.0045,0.1154,-3.8891,-0.2362
0.160,0.0000,0.0492,0.0492,-3.9764,0.1154,-3.8610,-0.2362
0.164,0.0000,0.0492,0.0492,-3.9481,0.1154,-3.8327,-0.2362
0.167,0.0000,0.0492,0.0492,-3.9208,0.1154,-3.8054,-0.2362
0.171,0.0000,0.0549,0.0549,-3.8864,0.1076,-3.7788,-0.3615
0.182,0.0000,0.0549,0.0549,-3.7876,0.1076,-3.6800,-0.3615
0.188,0.0000,0.0549,0.0549,-3.7398,0.1076,-3.6322,-0.3615
0.191,0.0000,0.0598,0.0598,-3.7082,0.1003,-3.6079,-0.4776
0.196,0.0000,0.0598,0.0598,-3.6670,0.1003,-3.5667,-0.4776
0.199,0.0000,0.0598,0.0598,-3.6377,0.1003,-3.5374,-0.4776
0.203,0.0000,0.0598,0.0598,-3.6036,0.1003,-3.5033,-0.4776
0.207,0.0000,0.0598,0.0598,-3.5734,0.1003,-3.4731,-0.4776
0.211,0.0000,0.0639,0.0639,-3.5392,0.0935,-3.4457,-0.5846
0.215,0.0000,0.0639,0.0639,-3.5044,0.0935,-3.4109,-0.5846
0.219,0.0000,0.0639,0.0639,-3.4684,0.0935,-3.3749,-0.5846
0.222,0.0000,0.0639,0.0639,-3.4367,0.0935,-3.3432,-0.5846
0.226,0.0000,0.0639,0.0639,-3.4023,0.0935,-3.3088,-0.5846
0.230,0.0000,0.0639,0.0639,-3.3721,0.0935,-3.2786,-0.5846
0.234,0.0000,0.0689,0.0689,-3.3376,0.0870,-3.2506,-0.7127
0.246,0.0000,0.0689,0.0689,-3.2304,0.0870,-3.1434,-0.7127
0.252,0.0000,0.0732,0.0732,-3.1769,0.0810,-3.0960,-0.8326
0.257,0.0000,0.0732,0.0732,-3.1302,0.0810,-3.0492,-0.8326
0.261,0.0000,0.0732,0.0732,-3.0970,0.0810,-3.0160,-0.8326
0.265,0.0000,0.0732,0.0732,-3.0627,0.0810,-2.9818,-0.8326
0.269,0.0000,0.0732,0.0732,-3.0312,0.0810,-2.9502,-0.8326
0.273,0.0000,0.0767,0.0767,-2.9908,0.0754,-2.9154,-0.9411
0.277,0.0000,0.0767,0.0767,-2.9553,0.0754,-2.8799,-0.9411
0.281,0.0000,0.0767,0.0767,-2.9221,0.0754,-2.8467,-0.9411
0.291,0.0000,0.0801,0.0801,-2.8331,0.0702,-2.7629,-1.0506
0.296,0.0000,0.0801,0.0801,-2.7985,0.0702,-2.7283,-1.0506
0.299,0.0000,0.0801,0.0801,-2.7662,0.0702,-2.6960,-1.0506
0.303,0.0000,0.0801,0.0801,-2.7337,0.0702,-2.6635,-1.0506
0.307,0.0000,0.0801,0.0801,-2.6985,0.0702,-2.6283,-1.0506
0.311,0.0000,0.0826,0.0826,-2.6694,0.0654,-2.6040,-1.1488
0.315,0.0000,0.0826,0.0826,-2.6334,0.0654,-2.5679,-1.1488
0.320,0.0000,0.0826,0.0826,-2.5909,0.0654,-2.5255,-1.1488
0.324,0.0000,0.0826,0.0826,-2.5642,0.0654,-2.4988,-1.1488
0.328,0.0000,0.0826,0.0826,-2.5450,0.0654,-2.4796,-1.1488
0.332,0.0000,0.0844,0.0844,-2.5275,0.0610,-2.4665,-1.2349
