Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,-0.0573,-0.1773,-0.1212,0.0273,0.1479,0.1479,-0.2359,-0.0141,0.8024
0.004,-0.0573,-0.1411,-0.1211,0.0273,0.1322,0.1322,-0.2359,-0.0190,0.8024
0.008,-0.0573,-0.1411,-0.1211,0.0273,0.1322,0.1322,-0.2359,-0.0190,0.8024
0.011,-0.0605,-0.1411,-0.1210,0.0305,0.1322,0.1322,-0.2395,-0.0190,0.8024
0.015,-0.0605,-0.1489,-0.1210,0.0316,0.1401,0.1401,-0.2052,-0.0278,0.8024
0.019,-0.0605,-0.1489,-0.1210,0.0316,0.1401,0.1401,-0.2052,-0.0278,0.8024
0.023,-0.0605,-0.1489,-0.1209,0.0316,0.1401,0.1401,-0.2052,-0.0278,0.8024
0.026,-0.0653,-0.1489,-0.1209,0.0328,0.1401,0.1401,-0.2068,-0.0278,0.8024
0.030,-0.0653,-0.1606,-0.1209,0.0328,0.1430,0.1430,-0.2068,-0.0317,0.8024
0.034,-0.0653,-0.1606,-0.1209,0.0338,0.1430,0.1430,-0.1752,-0.0317,0.8024
0.038,-0.0653,-0.1606,-0.1209,0.0338,0.1430,0.1430,-0.1752,-0.0317,0.8024
0.041,-0.0653,-0.1606,-0.1209,0.0338,0.1430,0.1430,-0.1752,-0.0317,0.8024
0.044,-0.0625,-0.1606,-0.1209,0.0330,0.1430,0.1430,-0.1712,-0.0317,0.8024
0.048,-0.0625,-0.1538,-0.1209,0.0330,0.1411,0.1411,-0.1712,-0.0219,0.8024
0.052,-0.0625,-0.1538,-0.1209,0.0330,0.1411,0.1411,-0.1712,-0.0219,0.8024
0.055,-0.0625,-0.1538,-0.1209,0.0338,0.1411,0.1411,-0.0973,-0.0219,0.8024
0.059,-0.0601,-0.1538,-0.1209,0.0310,0.1411,0.1411,-0.0937,-0.0219,0.8024
0.063,-0.0601,-0.1479,-0.1208,0.0310,0.1342,0.1342,-0.0937,-0.0131,0.8024
0.067,-0.0601,-0.1479,-0.1208,0.0310,0.1342,0.1342,-0.0937,-0.0131,0.8024
0.070,-0.0601,-0.1479,-0.1208,0.0310,0.1342,0.1342,-0.0937,-0.0131,0.8024
0.073,-0.0601,-0.1479,-0.1208,0.0316,0.1342,0.1342,-0.0153,-0.0131,0.8024
0.078,-0.0629,-0.1479,-0.1207,0.0308,0.1342,0.1342,-0.0173,-0.0131,0.8024
0.086,-0.0629,-0.1548,-0.1207,0.0308,0.1322,0.1322,-0.0173,-0.0180,0.8024
0.091,-0.0629,-0.1548,-0.1207,0.0308,0.1322,0.1322,-0.0173,-0.0180,0.8024
0.095,-0.0613,-0.1548,-0.1207,0.0341,0.1322,0.1322,0.0679,-0.0180,0.8024
0.101,-0.0613,-0.1509,-0.1207,0.0341,0.1391,0.1391,0.0679,-0.0092,0.8024
0.108,-0.0613,-0.1509,-0.1206,0.0341,0.1391,0.1391,0.0679,-0.0092,0.8025
0.112,-0.0617,-0.1509,-0.1206,0.0373,0.1391,0.1391,0.0619,-0.0092,0.8025
0.116,-0.0617,-0.1518,-0.1206,0.0377,0.1469,0.1469,0.1747,-0.0239,0.8025
0.120,-0.0617,-0.1518,-0.1205,0.0377,0.1469,0.1469,0.1747,-0.0239,0.8025
0.124,-0.0617,-0.1518,-0.1205,0.0377,0.1469,0.1469,0.1747,-0.0239,0.8025
0.127,-0.0657,-0.1518,-0.1205,0.0389,0.1469,0.1469,0.1822,-0.0239,0.8025
0.131,-0.0657,-0.1616,-0.1205,0.0389,0.1499,0.1499,0.1822,-0.0053,0.8025
0.134,-0.0657,-0.1616,-0.1205,0.0392,0.1499,0.1499,0.2925,-0.0053,0.8025
0.138,-0.0657,-0.1616,-0.1205,0.0392,0.1499,0.1499,0.2925,-0.0053,0.8025
0.141,-0.0657,-0.1616,-0.1205,0.0392,0.1499,0.1499,0.2925,-0.0053,0.8025
0.145,-0.0653,-0.1616,-0.1205,0.0416,0.1499,0.1499,0.2841,-0.0053,0.8025
0.149,-0.0653,-0.1606,-0.1205,0.0416,0.1557,0.1557,0.2841,-0.0258,0.8025
0.152,-0.0653,-0.1606,-0.1205,0.0416,0.1557,0.1557,0.2841,-0.0258,0.8025
0.156,-0.0653,-0.1606,-0.1205,0.0418,0.1557,0.1557,0.3817,-0.0258,0.8025
0.160,-0.0669,-0.1606,-0.1205,0.0454,0.1557,0.1557,0.3873,-0.0258,0.8025
0.164,-0.0669,-0.1646,-0.1205,0.0454,0.1646,0.1646,0.3873,-0.0121,0.8025
0.168,-0.0669,-0.1646,-0.1206,0.0454,0.1646,0.1646,0.3873,-0.0121,0.8025
0.171,-0.0669,-0.1646,-0.1206,0.0454,0.1646,0.1646,0.3873,-0.0121,0.8025
0.175,-0.0669,-0.1646,-0.1206,0.0456,0.1646,0.1646,0.4721,-0.0121,0.8025
0.179,-0.0661,-0.1646,-0.1206,0.0420,0.1646,0.1646,0.4713,-0.0121,0.8025
0.184,-0.0661,-0.1626,-0.1206,0.0420,0.1557,0.1557,0.4713,-0.0141,0.8025
0.187,-0.0661,-0.1626,-0.1206,0.0420,0.1557,0.1557,0.4713,-0.0141,0.8025
0.191,-0.0661,-0.1626,-0.1206,0.0420,0.1557,0.1557,0.4713,-0.0141,0.8025
0.195,-0.0645,-0.1626,-0.1206,0.0366,0.1557,0.1557,0.5459,-0.0141,0.8025
0.200,-0.0645,-0.1587,-0.1206,0.0366,0.1420,0.1420,0.5459,-0.0082,0.8025
0.204,-0.0645,-0.1587,-0.1206,0.0366,0.1420,0.1420,0.5459,-0.0082,0.8025
0.213,-0.0617,-0.1587,-0.1206,0.0379,0.1420,0.1420,0.6010,-0.0082,0.8025
0.218,-0.0617,-0.1518,-0.1206,0.0379,0.1450,0.1450,0.6010,-0.0199,0.8025
0.222,-0.0617,-0.1518,-0.1205,0.0379,0.1450,0.1450,0.6010,-0.0199,0.8025
0.226,-0.0673,-0.1518,-0.1205,0.0355,0.1450,0.1450,0.6006,-0.0199,0.8025
0.231,-0.0673,-0.1655,-0.1205,0.0355,0.1391,0.1391,0.6006,-0.0209,0.8025
0.239,-0.0673,-0.1655,-0.1205,0.0355,0.1391,0.1391,0.6665,-0.0209,0.8025
0.244,-0.0617,-0.1655,-0.1206,0.0363,0.1391,0.1391,0.6697,-0.0209,0.8025
0.249,-0.0617,-0.1518,-0.1205,0.0363,0.1411,0.1411,0.6697,-0.0131,0.8025
0.253,-0.0617,-0.1518,-0.1205,0.0362,0.1411,0.1411,0.7473,-0.0131,0.8025
0.257,-0.0617,-0.1518,-0.1205,0.0362,0.1411,0.1411,0.7473,-0.0131,0.8025
0.261,-0.0645,-0.1518,-0.1205,0.0330,0.1411,0.1411,0.7469,-0.0131,0.8025
0.266,-0.0645,-0.1587,-0.1205,0.0330,0.1332,0.1332,0.7469,-0.0141,0.8025
0.269,-0.0645,-0.1587,-0.1205,0.0330,0.1332,0.1332,0.7469,-0.0141,0.8025
0.273,-0.0645,-0.1587,-0.1205,0.0328,0.1332,0.1332,0.8153,-0.0141,0.8025
0.277,-0.0613,-0.1587,-0.1205,0.0340,0.1332,0.1332,0.8181,-0.0141,0.8025
0.281,-0.0613,-0.1509,-0.1205,0.0340,0.1362,0.1362,0.8181,-0.0072,0.8025
0.285,-0.0613,-0.1509,-0.1204,0.0340,0.1362,0.1362,0.8181,-0.0072,0.8025
0.289,-0.0613,-0.1509,-0.1204,0.0340,0.1362,0.1362,0.8181,-0.0072,0.8025
0.292,-0.0621,-0.1509,-0.1204,0.0348,0.1362,0.1362,0.7927,-0.0072,0.8025
0.297,-0.0621,-0.1528,-0.1204,0.0348,0.1381,0.1381,0.7927,-0.0160,0.8025
0.301,-0.0621,-0.1528,-0.1204,0.0348,0.1381,0.1381,0.7927,-0.0160,0.8025
0.305,-0.0621,-0.1528,-0.1203,0.0348,0.1381,0.1381,0.7927,-0.0160,0.8025
0.310,-0.0645,-0.1528,-0.1203,0.0328,0.1381,0.1381,0.7963,-0.0160,0.8025
0.318,-0.0645,-0.1587,-0.1203,0.0326,0.1332,0.1332,0.7991,-0.0072,0.8025
