Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,2.8036,0.0724,2.8760,0.0733,0.0000,0.0733,0.0628
0.010,2.8065,0.0724,2.8789,0.0748,0.0000,0.0748,0.0628
0.014,2.8077,0.0915,2.8993,0.0753,0.0000,0.0753,0.3811
0.018,2.8089,0.0915,2.9004,0.0758,0.0000,0.0758,0.3811
0.022,2.8101,0.0915,2.9016,0.0764,0.0000,0.0764,0.3811
0.026,2.8111,0.0915,2.9026,0.0769,0.0000,0.0769,0.3811
0.029,2.8120,0.0915,2.9035,0.0773,0.0000,0.0773,0.3811
0.033,2.8129,0.0915,2.9045,0.0779,0.0000,0.0779,0.3811
0.038,2.8141,0.1118,2.9258,0.0785,0.0000,0.0785,0.7056
0.042,2.8151,0.1118,2.9269,0.0792,0.0000,0.0792,0.7056
0.046,2.8159,0.1118,2.9277,0.0797,0.0000,0.0797,0.7056
0.049,2.8167,0.1118,2.9285,0.0801,0.0000,0.0801,0.7056
0.053,2.8175,0.1118,2.9293,0.0805,0.0000,0.0805,0.7056
0.056,2.8184,0.1340,2.9524,0.0811,0.0000,0.0811,1.0528
0.061,2.8193,0.1340,2.9533,0.0815,0.0000,0.0815,1.0528
0.064,2.8200,0.1340,2.9540,0.0817,0.0000,0.0817,1.0528
0.068,2.8207,0.1340,2.9547,0.0821,0.0000,0.0821,1.0528
0.072,2.8216,0.1340,2.9556,0.0825,0.0000,0.0825,1.0528
0.077,2.8225,0.1588,2.9813,0.0829,0.0000,0.0829,1.4304
0.082,2.8235,0.1588,2.9823,0.0835,0.0000,0.0835,1.4304
0.087,2.8245,0.1588,2.9832,0.0840,0.0000,0.0840,1.4304
0.091,2.8252,0.1588,2.9839,0.0842,0.0000,0.0842,1.4304
0.095,2.8259,0.1865,3.0124,0.0848,0.0000,0.0848,1.8448
0.100,2.8267,0.1865,3.0132,0.0851,0.0000,0.0851,1.8448
0.104,2.8273,0.1865,3.0138,0.0853,0.0000,0.0853,1.8448
0.108,2.8280,0.1865,3.0145,0.0857,0.0000,0.0857,1.8448
0.111,2.8285,0.1865,3.0150,0.0859,0.0000,0.0859,1.8448
0.115,2.8291,0.2143,3.0434,0.0862,0.0000,0.0862,2.2556
0.119,2.8297,0.2143,3.0440,0.0863,0.0000,0.0863,2.2556
0.123,2.8304,0.2143,3.0447,0.0865,0.0000,0.0865,2.2556
0.127,2.8309,0.2143,3.0452,0.0868,0.0000,0.0868,2.2556
0.131,2.8314,0.2143,3.0457,0.0870,0.0000,0.0870,2.2556
0.135,2.8319,0.2406,3.0725,0.0871,0.0000,0.0871,2.6432
0.139,2.8325,0.2406,3.0731,0.0874,0.0000,0.0874,2.6432
0.144,2.8332,0.2406,3.0738,0.0876,0.0000,0.0876,2.6432
0.149,2.8338,0.2406,3.0744,0.0879,0.0000,0.0879,2.6432
0.153,2.8342,0.2406,3.0748,0.0882,0.0000,0.0882,2.6432
0.156,2.8347,0.2650,3.0997,0.0884,0.0000,0.0884,3.0046
0.161,2.8352,0.2650,3.1002,0.0887,0.0000,0.0887,3.0046
0.164,2.8356,0.2650,3.1006,0.0890,0.0000,0.0890,3.0046
0.168,2.8360,0.2650,3.1010,0.0893,0.0000,0.0893,3.0046
0.172,2.8364,0.2650,3.1014,0.0896,0.0000,0.0896,3.0046
0.175,2.8368,0.2917,3.1285,0.0893,0.0000,0.0893,3.3957
0.180,2.8373,0.2917,3.1289,0.0897,0.0000,0.0897,3.3957
0.183,2.8376,0.2917,3.1293,0.0901,0.0000,0.0901,3.3957
0.188,2.8381,0.2917,3.1297,0.0905,0.0000,0.0905,3.3957
0.194,2.8386,0.2917,3.1303,0.0911,0.0000,0.0911,3.3957
0.198,2.8390,0.3191,3.1581,0.0916,0.0000,0.0916,3.7996
0.202,2.8394,0.3191,3.1585,0.0921,0.0000,0.0921,3.7996
0.207,2.8398,0.3191,3.1589,0.0927,0.0000,0.0927,3.7996
0.213,2.8403,0.3191,3.1594,0.0922,0.0000,0.0922,3.7996
0.216,2.8406,0.3433,3.1840,0.0920,0.0000,0.0920,4.1722
0.221,2.8410,0.3433,3.1844,0.0917,0.0000,0.0917,4.1722
0.224,2.8413,0.3433,3.1846,0.0923,0.0000,0.0923,4.1722
0.228,2.8416,0.3433,3.1849,0.0928,0.0000,0.0928,4.1722
0.231,2.8418,0.3433,3.1852,0.0926,0.0000,0.0926,4.1722
0.235,2.8421,0.3633,3.2055,0.0924,0.0000,0.0924,4.5016
0.240,2.8425,0.3633,3.2058,0.0933,0.0000,0.0933,4.5016
0.245,2.8428,0.3633,3.2061,0.0941,0.0000,0.0941,4.5016
0.249,2.8431,0.3633,3.2065,0.0949,0.0000,0.0949,4.5016
0.253,2.8434,0.3633,3.2067,0.0947,0.0000,0.0947,4.5016
0.259,2.8438,0.3477,3.1915,0.0945,0.0000,0.0945,4.4141
0.263,2.8440,0.3477,3.1918,0.0944,0.0000,0.0944,4.4141
0.268,2.8443,0.3477,3.1920,0.0943,0.0000,0.0943,4.4141
0.273,2.8446,0.3477,3.1923,0.0943,0.0000,0.0943,4.4141
0.276,2.8448,0.3323,3.1771,0.0943,0.0000,0.0943,4.3275
0.281,2.8451,0.3323,3.1774,0.0942,0.0000,0.0942,4.3275
0.285,2.8453,0.3323,3.1776,0.0943,0.0000,0.0943,4.3275
0.290,2.8456,0.3323,3.1779,0.0943,0.0000,0.0943,4.3275
0.297,2.8459,0.2808,3.1267,0.0944,0.0000,0.0944,3.7542
0.303,2.8462,0.2808,3.1270,0.0946,0.0000,0.0946,3.7542
0.307,2.8464,0.2808,3.1272,0.0947,0.0000,0.0947,3.7542
0.311,2.8466,0.2808,3.1274,0.0948,0.0000,0.0948,3.7542
0.315,2.8468,0.2669,3.1137,0.0950,0.0000,0.0950,3.6677
0.320,2.8470,0.2669,3.1139,0.0952,0.0000,0.0952,3.6677
0.324,2.8472,0.2669,3.1141,0.0953,0.0000,0.0953,3.6677
0.327,2.8473,0.2669,3.1142,0.0955,0.0000,0.0955,3.6677
0.331,2.8475,0.2669,3.1144,0.0930,0.0000,0.0930,3.6677
0.336,2.8477,0.2242,3.0718,0.0934,0.0000,0.0934,3.1338
0.344,2.8480,0.2242,3.0721,0.0940,0.0000,0.0940,3.1338
0.350,2.8482,0.2242,3.0724,0.0945,0.0000,0.0945,3.1338
0.355,2.8484,0.2115,3.0599,0.0958,0.0000,0.0958,3.0411
0.359,2.8485,0.2115,3.0600,0.0961,0.0000,0.0961,3.0411
0.364,2.8487,0.2115,3.0602,0.0965,0.0000,0.0965,3.0411
0.367,2.8488,0.2115,3.0603,0.0969,0.0000,0.0969,3.0411
0.372,2.8490,0.2115,3.0605,0.0974,0.0000,0.0974,3.0411
0.376,2.8491,0.1775,3.0266,0.0977,0.0000,0.0977,2.5449
0.381,2.8492,0.1775,3.0268,0.0983,0.0000,0.0983,2.5449
0.385,2.8494,0.1775,3.0269,0.0987,0.0000,0.0987,2.5449
0.389,2.8495,0.1775,3.0270,0.0992,0.0000,0.0992,2.5449
0.393,2.8496,0.1775,3.0271,0.0996,0.0000,0.0996,2.5449
0.398,2.8497,0.1764,3.0262,0.1002,0.0000,0.1002,2.6557
0.403,2.8499,0.1764,3.0263,0.1008,0.0000,0.1008,2.6557
0.407,2.8500,0.1764,3.0264,0.1013,0.0000,0.1013,2.6557
0.411,2.8501,0.1764,3.0265,0.1018,0.0000,0.1018,2.6557
0.415,2.8502,0.1583,3.0085,0.1024,0.0000,0.1024,2.3960
0.421,2.8503,0.1583,3.0087,0.1031,0.0000,0.1031,2.3960
0.425,2.8504,0.1583,3.0088,0.1009,0.0000,0.1009,2.3960
0.429,2.8505,0.1583,3.0089,0.0983,0.0000,0.0983,2.3960
0.433,2.8506,0.1583,3.0089,0.0990,0.0000,0.0990,2.3960
0.437,2.8507,0.1421,2.9928,0.0998,0.0000,0.0998,2.1502
0.443,2.8508,0.1421,2.9929,0.0995,0.0000,0.0995,2.1502
0.448,2.8509,0.1421,2.9930,0.0993,0.0000,0.0993,2.1502
0.454,2.8510,0.1364,2.9874,0.0959,0.0000,0.0959,2.1460
0.459,2.8511,0.1364,2.9875,0.0931,0.0000,0.0931,2.1460
0.463,2.8512,0.1364,2.9876,0.0931,0.0000,0.0931,2.1460
0.467,2.8513,0.1364,2.9876,0.0932,0.0000,0.0932,2.1460
0.471,2.8514,0.1364,2.9877,0.0909,0.0000,0.0909,2.1460
0.476,2.8514,0.1228,2.9743,0.0911,0.0000,0.0911,1.9410
0.480,2.8515,0.1228,2.9743,0.0913,0.0000,0.0913,1.9410
