Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,0.0000,0.0000,-0.0652,-6.0894,0.5676,0.5676,0.1453,0.0000,0.1220
0.005,0.0000,0.0000,-0.0652,-6.0237,0.5619,0.5619,0.1453,0.0000,0.1220
0.010,0.0000,0.0000,-0.0652,-5.9714,0.5560,0.5560,0.1453,0.0000,0.1220
0.014,0.0000,0.0000,-0.0651,-5.9278,0.5513,0.5513,0.1453,0.0000,0.1220
0.017,0.0000,0.0000,-0.0651,-5.8884,0.5474,0.5474,0.0321,0.0000,0.1220
0.021,0.0000,0.0000,-0.0651,-5.8413,0.5434,0.5434,0.0321,0.0000,0.1220
0.025,0.0000,0.0000,-0.0651,-5.7995,0.5392,0.5392,0.0321,0.0000,0.1220
0.028,0.0000,0.0000,-0.0651,-5.7595,0.5354,0.5354,0.0321,0.0000,0.1220
0.032,0.0000,0.0000,-0.0651,-5.7176,0.5318,0.5318,0.0321,0.0000,0.1220
0.036,0.0000,0.0000,-0.0650,-5.6748,0.5281,0.5281,0.0321,0.0000,0.1220
0.039,0.0000,0.0000,-0.0650,-5.6354,0.5242,0.5242,0.0270,0.0000,0.1220
0.043,0.0000,0.0000,-0.0650,-5.5902,0.5208,0.5208,0.0270,0.0000,0.1220
0.047,0.0000,0.0000,-0.0650,-5.5519,0.5167,0.5167,0.0270,0.0000,0.1220
0.050,0.0000,0.0000,-0.0650,-5.5156,0.5133,0.5133,0.0270,0.0000,0.1220
0.053,0.0000,0.0000,-0.0650,-5.4797,0.5100,0.5100,0.0270,0.0000,0.1220
0.057,0.0000,0.0000,-0.0650,-5.4406,0.5068,0.5068,0.0193,0.0000,0.1220
0.061,0.0000,0.0000,-0.0649,-5.3953,0.5034,0.5034,0.0193,0.0000,0.1220
0.064,0.0000,0.0000,-0.0649,-5.3581,0.4993,0.4993,0.0193,0.0000,0.1220
0.068,0.0000,0.0000,-0.0649,-5.3226,0.4960,0.4960,0.0193,0.0000,0.1220
0.071,0.0000,0.0000,-0.0649,-5.2865,0.4928,0.4928,0.0193,0.0000,0.1220
0.074,0.0000,0.0000,-0.0649,-5.2495,0.4895,0.4895,0.0193,0.0000,0.1220
0.078,0.0000,0.0000,-0.0649,-5.2114,0.4862,0.4862,0.0053,0.0000,0.1220
0.082,0.0000,0.0000,-0.0649,-5.1653,0.4829,0.4829,0.0053,0.0000,0.1220
0.086,0.0000,0.0000,-0.0648,-5.1286,0.4787,0.4787,0.0053,0.0000,0.1220
0.091,0.0000,0.0000,-0.0648,-5.0801,0.4754,0.4754,0.0053,0.0000,0.1220
0.097,0.0000,0.0000,-0.0648,-5.0132,0.4711,0.4711,0.0088,0.0000,0.1220
0.105,0.0000,0.0000,-0.0648,-4.9360,0.4653,0.4653,0.0088,0.0000,0.1220
0.108,0.0000,0.0000,-0.0647,-4.8996,0.4584,0.4584,0.0088,0.0000,0.1220
0.113,0.0000,0.0000,-0.0647,-4.8607,0.4551,0.4551,0.0088,0.0000,0.1220
0.117,0.0000,0.0000,-0.0647,-4.8196,0.4516,0.4516,0.0102,0.0000,0.1220
0.120,0.0000,0.0000,-0.0647,-4.7825,0.4482,0.4482,0.0102,0.0000,0.1220
0.124,0.0000,0.0000,-0.0647,-4.7498,0.4448,0.4448,0.0102,0.0000,0.1220
0.128,0.0000,0.0000,-0.0647,-4.7166,0.4419,0.4419,0.0102,0.0000,0.1220
0.133,0.0000,0.0000,-0.0647,-4.6628,0.4389,0.4389,0.0102,0.0000,0.1220
0.137,0.0000,0.0000,-0.0646,-4.6277,0.4341,0.4341,0.0197,0.0000,0.1220
0.141,0.0000,0.0000,-0.0646,-4.5917,0.4313,0.4313,0.0197,0.0000,0.1220
0.144,0.0000,0.0000,-0.0646,-4.5601,0.4281,0.4281,0.0197,0.0000,0.1220
0.148,0.0000,0.0000,-0.0646,-4.5308,0.4252,0.4252,0.0197,0.0000,0.1220
0.151,0.0000,0.0000,-0.0646,-4.5029,0.4226,0.4226,0.0197,0.0000,0.1220
0.155,0.0000,0.0000,-0.0646,-4.4731,0.4201,0.4201,0.0197,0.0000,0.1220
0.158,0.0000,0.0000,-0.0646,-4.4371,0.4174,0.4174,0.0335,0.0000,0.1220
0.162,0.0000,0.0000,-0.0645,-4.4031,0.4147,0.4147,0.0335,0.0000,0.1220
0.166,0.0000,0.0000,-0.0645,-4.3734,0.4117,0.4117,0.0335,0.0000,0.1220
0.169,0.0000,0.0000,-0.0645,-4.3451,0.4090,0.4090,0.0335,0.0000,0.1220
0.173,0.0000,0.0000,-0.0645,-4.3184,0.4064,0.4064,0.0335,0.0000,0.1220
0.176,0.0000,0.0000,-0.0645,-4.2832,0.4040,0.4040,0.0397,0.0000,0.1220
0.180,0.0000,0.0000,-0.0645,-4.2514,0.4014,0.4014,0.0397,0.0000,0.1220
0.183,0.0000,0.0000,-0.0645,-4.2263,0.3986,0.3986,0.0397,0.0000,0.1220
0.187,0.0000,0.0000,-0.0645,-4.1998,0.3963,0.3963,0.0397,0.0000,0.1220
0.190,0.0000,0.0000,-0.0644,-4.1737,0.3939,0.3939,0.0397,0.0000,0.1220
0.194,0.0000,0.0000,-0.0644,-4.1466,0.3916,0.3916,0.0397,0.0000,0.1220
0.198,0.0000,0.0000,-0.0644,-4.0957,0.3891,0.3891,0.1437,0.0000,0.1220
0.206,0.0000,0.0000,-0.0644,-4.0393,0.3861,0.3861,0.1437,0.0000,0.1220
0.210,0.0000,0.0000,-0.0644,-4.0122,0.3810,0.3810,0.1437,0.0000,0.1220
0.213,0.0000,0.0000,-0.0644,-3.9873,0.3785,0.3785,0.1437,0.0000,0.1220
0.217,0.0000,0.0000,-0.0644,-3.9560,0.3763,0.3763,0.1415,0.0000,0.1220
0.221,0.0000,0.0000,-0.0643,-3.9262,0.3740,0.3740,0.1415,0.0000,0.1220
0.224,0.0000,0.0000,-0.0643,-3.9023,0.3713,0.3713,0.1415,0.0000,0.1220
0.228,0.0000,0.0000,-0.0643,-3.8790,0.3692,0.3692,0.1415,0.0000,0.1220
0.231,0.0000,0.0000,-0.0643,-3.8565,0.3671,0.3671,0.1415,0.0000,0.1220
0.235,0.0000,0.0000,-0.0643,-3.8330,0.3651,0.3651,0.1415,0.0000,0.1220
0.238,0.0000,0.0000,-0.0643,-3.8143,0.3630,0.3630,0.0381,0.0000,0.1220
0.244,0.0000,0.0000,-0.0643,-3.7766,0.3609,0.3609,0.0381,0.0000,0.1220
0.249,0.0000,0.0000,-0.0642,-3.7468,0.3575,0.3575,0.0381,0.0000,0.1220
0.252,0.0000,0.0000,-0.0642,-3.7247,0.3548,0.3548,0.0381,0.0000,0.1220
0.256,0.0000,0.0000,-0.0642,-3.7038,0.3528,0.3528,0.0381,0.0000,0.1220
0.259,0.0000,0.0000,-0.0642,-3.6756,0.3509,0.3509,0.0329,0.0000,0.1220
0.263,0.0000,0.0000,-0.0642,-3.6514,0.3490,0.3490,0.0329,0.0000,0.1220
0.267,0.0000,0.0000,-0.0642,-3.6306,0.3468,0.3468,0.0329,0.0000,0.1220
0.270,0.0000,0.0000,-0.0642,-3.6105,0.3449,0.3449,0.0329,0.0000,0.1220
0.274,0.0000,0.0000,-0.0642,-3.5911,0.3431,0.3431,0.0329,0.0000,0.1220
0.277,0.0000,0.0000,-0.0642,-3.5648,0.3414,0.3414,0.0219,0.0000,0.1220
0.282,0.0000,0.0000,-0.0641,-3.5412,0.3395,0.3395,0.0219,0.0000,0.1220
0.288,0.0000,0.0000,-0.0641,-3.5074,0.3374,0.3374,0.0219,0.0000,0.1220
0.291,0.0000,0.0000,-0.0641,-3.4878,0.3344,0.3344,0.0219,0.0000,0.1220
0.295,0.0000,0.0000,-0.0641,-3.4695,0.3326,0.3326,0.0219,0.0000,0.1220
0.300,0.0000,0.0000,-0.0641,-3.4276,0.3309,0.3309,0.1035,0.0000,0.1220
0.308,0.0000,0.0000,-0.0641,-3.3844,0.3287,0.3287,0.1035,0.0000,0.1220
0.312,0.0000,0.0000,-0.0641,-3.3655,0.3248,0.3248,0.1035,0.0000,0.1220
0.316,0.0000,0.0000,-0.0640,-3.3467,0.3231,0.3231,0.1035,0.0000,0.1220
0.319,0.0000,0.0000,-0.0640,-3.3492,0.3214,0.3214,-0.1090,0.0000,0.1220
0.324,0.0000,0.0000,-0.0640,-3.3275,0.3200,0.3200,-0.1090,0.0000,0.1220
0.328,0.0000,0.0000,-0.0640,-3.3096,0.3180,0.3180,-0.1090,0.0000,0.1220
0.332,0.0000,0.0000,-0.0640,-3.2916,0.3164,0.3164,-0.1090,0.0000,0.1220
0.335,0.0000,0.0000,-0.0640,-3.2766,0.3148,0.3148,-0.1090,0.0000,0.1220
0.339,0.0000,0.0000,-0.0640,-3.2402,0.3134,0.3134,0.0004,0.0000,0.1220
0.344,0.0000,0.0000,-0.0640,-3.2215,0.3119,0.3119,0.0004,0.0000,0.1220
0.348,0.0000,0.0000,-0.0640,-3.2056,0.3102,0.3102,0.0004,0.0000,0.1220
0.351,0.0000,0.0000,-0.0639,-3.1920,0.3088,0.3088,0.0004,0.0000,0.1220
0.355,0.0000,0.0000,-0.0639,-3.1759,0.3076,0.3076,0.0004,0.0000,0.1220
0.359,0.0000,0.0000,-0.0639,-3.1414,0.3061,0.3061,0.1188,0.0000,0.1220
0.363,0.0000,0.0000,-0.0639,-3.1244,0.3048,0.3048,0.1188,0.0000,0.1220
0.367,0.0000,0.0000,-0.0639,-3.1118,0.3033,0.3033,0.1188,0.0000,0.1220
0.370,0.0000,0.0000,-0.0639,-3.0978,0.3022,0.3022,0.1188,0.0000,0.1220
0.374,0.0000,0.0000,-0.0639,-3.0853,0.3009,0.3009,0.1188,0.0000,0.1220
