Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,1.0702,1.0702,-0.0200,-0.7829,-0.7829,0.0000,-0.2587,-0.2587,0.6162
0.006,1.0702,1.0702,-0.0200,-0.7907,-0.7907,0.0000,-0.2587,-0.2587,0.6161
0.014,1.0634,1.0634,-0.0199,-0.7603,-0.7603,0.0000,-0.2812,-0.2812,0.6160
0.019,1.0634,1.0634,-0.0199,-0.7655,-0.7655,0.0000,-0.2812,-0.2812,0.6158
0.023,1.0634,1.0634,-0.0198,-0.7684,-0.7684,0.0000,-0.2812,-0.2812,0.6157
0.026,1.0634,1.0634,-0.0198,-0.7710,-0.7710,0.0000,-0.2812,-0.2812,0.6157
0.030,1.0634,1.0634,-0.0198,-0.7736,-0.7736,0.0000,-0.2812,-0.2812,0.6156
0.034,1.0570,1.0570,-0.0197,-0.7383,-0.7383,0.0000,-0.2990,-0.2990,0.6155
0.038,1.0570,1.0570,-0.0197,-0.7401,-0.7401,0.0000,-0.2990,-0.2990,0.6154
0.042,1.0571,1.0571,-0.0197,-0.7417,-0.7417,0.0000,-0.2990,-0.2990,0.6154
0.051,1.0571,1.0571,-0.0196,-0.7428,-0.7428,0.0000,-0.2990,-0.2990,0.6153
0.056,1.0510,1.0510,-0.0196,-0.7065,-0.7065,0.0000,-0.3178,-0.3178,0.6151
0.061,1.0511,1.0511,-0.0195,-0.7058,-0.7058,0.0000,-0.3178,-0.3178,0.6150
0.065,1.0511,1.0511,-0.0195,-0.7049,-0.7049,0.0000,-0.3178,-0.3178,0.6149
0.068,1.0511,1.0511,-0.0195,-0.7038,-0.7038,0.0000,-0.3178,-0.3178,0.6148
0.071,1.0511,1.0511,-0.0194,-0.7024,-0.7024,0.0000,-0.3178,-0.3178,0.6147
0.075,1.0454,1.0454,-0.0194,-0.6649,-0.6649,0.0000,-0.3354,-0.3354,0.6147
0.080,1.0454,1.0454,-0.0194,-0.6616,-0.6616,0.0000,-0.3354,-0.3354,0.6146
0.084,1.0454,1.0454,-0.0194,-0.6587,-0.6587,0.0000,-0.3354,-0.3354,0.6145
0.087,1.0454,1.0454,-0.0193,-0.6554,-0.6554,0.0000,-0.3354,-0.3354,0.6144
0.091,1.0454,1.0454,-0.0193,-0.6520,-0.6520,0.0000,-0.3354,-0.3354,0.6143
0.095,1.0400,1.0400,-0.0193,-0.6134,-0.6134,0.0000,-0.3545,-0.3545,0.6142
0.099,1.0400,1.0400,-0.0193,-0.6084,-0.6084,0.0000,-0.3545,-0.3545,0.6142
0.102,1.0401,1.0401,-0.0192,-0.6038,-0.6038,0.0000,-0.3545,-0.3545,0.6141
0.105,1.0401,1.0401,-0.0192,-0.5990,-0.5990,0.0000,-0.3545,-0.3545,0.6140
0.109,1.0401,1.0401,-0.0192,-0.5926,-0.5926,0.0000,-0.3545,-0.3545,0.6139
0.113,1.0349,1.0349,-0.0192,-0.5532,-0.5532,0.0000,-0.3773,-0.3773,0.6138
0.117,1.0349,1.0349,-0.0191,-0.5465,-0.5465,0.0000,-0.3773,-0.3773,0.6137
0.120,1.0349,1.0349,-0.0191,-0.5402,-0.5402,0.0000,-0.3773,-0.3773,0.6137
0.124,1.0350,1.0350,-0.0191,-0.5334,-0.5334,0.0000,-0.3773,-0.3773,0.6136
0.127,1.0350,1.0350,-0.0191,-0.5262,-0.5262,0.0000,-0.3773,-0.3773,0.6135
0.131,1.0350,1.0350,-0.0191,-0.5187,-0.5187,0.0000,-0.3773,-0.3773,0.6134
0.134,1.0301,1.0301,-0.0190,-0.4782,-0.4782,0.0000,-0.4015,-0.4015,0.6134
0.138,1.0301,1.0301,-0.0190,-0.4691,-0.4691,0.0000,-0.4015,-0.4015,0.6133
0.142,1.0301,1.0301,-0.0190,-0.4590,-0.4590,0.0000,-0.4015,-0.4015,0.6132
0.147,1.0301,1.0301,-0.0190,-0.4469,-0.4469,0.0000,-0.4015,-0.4015,0.6131
0.154,1.0255,1.0255,-0.0189,-0.3946,-0.3946,0.0000,-0.4265,-0.4265,0.6130
0.159,1.0255,1.0255,-0.0189,-0.3806,-0.3806,0.0000,-0.4265,-0.4265,0.6128
0.167,1.0255,1.0255,-0.0189,-0.3525,-0.3525,0.0000,-0.4265,-0.4265,0.6127
0.174,1.0215,1.0215,-0.0188,-0.2971,-0.2971,0.0000,-0.4355,-0.4355,0.6125
0.179,1.0215,1.0215,-0.0188,-0.2805,-0.2805,0.0000,-0.4355,-0.4355,0.6123
0.183,1.0216,1.0216,-0.0188,-0.2651,-0.2651,0.0000,-0.4355,-0.4355,0.6122
0.187,1.0216,1.0216,-0.0187,-0.2507,-0.2507,0.0000,-0.4355,-0.4355,0.6121
0.191,1.0216,1.0216,-0.0187,-0.2345,-0.2345,0.0000,-0.4355,-0.4355,0.6120
0.195,1.0179,1.0179,-0.0187,-0.1899,-0.1899,0.0000,-0.4413,-0.4413,0.6119
0.200,1.0179,1.0179,-0.0187,-0.1719,-0.1719,0.0000,-0.4413,-0.4413,0.6118
0.204,1.0179,1.0179,-0.0187,-0.1560,-0.1560,0.0000,-0.4413,-0.4413,0.6117
0.208,1.0179,1.0179,-0.0186,-0.1393,-0.1393,0.0000,-0.4413,-0.4413,0.6116
0.211,1.0179,1.0179,-0.0186,-0.1236,-0.1236,0.0000,-0.4413,-0.4413,0.6115
0.215,1.0145,1.0145,-0.0186,-0.0765,-0.0765,0.0000,-0.4481,-0.4481,0.6114
0.219,1.0145,1.0145,-0.0186,-0.0576,-0.0576,0.0000,-0.4481,-0.4481,0.6113
0.223,1.0145,1.0145,-0.0186,-0.0404,-0.0404,0.0000,-0.4481,-0.4481,0.6112
0.227,1.0145,1.0145,-0.0185,-0.0234,-0.0234,0.0000,-0.4481,-0.4481,0.6111
0.231,1.0145,1.0145,-0.0185,-0.0041,-0.0041,0.0000,-0.4481,-0.4481,0.6111
