Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,1.0399,1.0399,-0.0166,-10.8521,-10.8521,0.0000,0.2594,0.2594,0.4137
0.004,1.0399,1.0399,-0.0166,-10.8293,-10.8293,0.0000,0.2594,0.2594,0.4138
0.008,1.0399,1.0399,-0.0166,-10.8071,-10.8071,0.0000,0.2594,0.2594,0.4138
0.012,1.0384,1.0384,-0.0166,-10.7817,-10.7817,0.0000,0.1920,0.1920,0.4138
0.016,1.0384,1.0384,-0.0166,-10.7594,-10.7594,0.0000,0.1920,0.1920,0.4138
0.019,1.0384,1.0384,-0.0165,-10.7402,-10.7402,0.0000,0.1920,0.1920,0.4138
0.024,1.0384,1.0384,-0.0165,-10.7120,-10.7120,0.0000,0.1920,0.1920,0.4138
0.029,1.0384,1.0384,-0.0165,-10.6829,-10.6829,0.0000,0.1920,0.1920,0.4138
0.032,1.0365,1.0365,-0.0165,-10.6526,-10.6526,0.0000,0.1083,0.1083,0.4139
0.036,1.0365,1.0365,-0.0165,-10.6263,-10.6263,0.0000,0.1083,0.1083,0.4138
0.042,1.0365,1.0365,-0.0165,-10.5916,-10.5916,0.0000,0.1083,0.1083,0.4138
0.046,1.0365,1.0365,-0.0164,-10.5625,-10.5625,0.0000,0.1083,0.1083,0.4138
0.051,1.0347,1.0347,-0.0164,-10.5240,-10.5240,0.0000,0.0296,0.0296,0.4138
0.060,1.0347,1.0347,-0.0164,-10.4550,-10.4550,0.0000,0.0296,0.0296,0.4138
0.066,1.0347,1.0347,-0.0164,-10.4166,-10.4166,0.0000,0.0296,0.0296,0.4137
0.070,1.0330,1.0330,-0.0164,-10.3761,-10.3761,0.0000,-0.0423,-0.0423,0.4137
0.075,1.0330,1.0330,-0.0164,-10.3431,-10.3431,0.0000,-0.0423,-0.0423,0.4136
0.078,1.0330,1.0330,-0.0163,-10.3182,-10.3182,0.0000,-0.0423,-0.0423,0.4136
0.082,1.0330,1.0330,-0.0163,-10.2933,-10.2933,0.0000,-0.0423,-0.0423,0.4136
0.086,1.0330,1.0330,-0.0163,-10.2629,-10.2629,0.0000,-0.0423,-0.0423,0.4135
0.090,1.0316,1.0316,-0.0163,-10.2266,-10.2266,0.0000,-0.1089,-0.1089,0.4135
0.094,1.0316,1.0316,-0.0163,-10.1960,-10.1960,0.0000,-0.1089,-0.1089,0.4135
0.097,1.0316,1.0316,-0.0163,-10.1699,-10.1699,0.0000,-0.1089,-0.1089,0.4134
0.101,1.0316,1.0316,-0.0163,-10.1427,-10.1427,0.0000,-0.1089,-0.1089,0.4134
0.104,1.0316,1.0316,-0.0163,-10.1166,-10.1166,0.0000,-0.1089,-0.1089,0.4133
0.109,1.0316,1.0316,-0.0162,-10.0743,-10.0743,0.0000,-0.1089,-0.1089,0.4133
0.113,1.0302,1.0302,-0.0162,-10.0426,-10.0426,0.0000,-0.1711,-0.1711,0.4132
0.117,1.0302,1.0302,-0.0162,-10.0046,-10.0046,0.0000,-0.1711,-0.1711,0.4132
0.121,1.0302,1.0302,-0.0162,-9.9749,-9.9749,0.0000,-0.1711,-0.1711,0.4131
0.125,1.0302,1.0302,-0.0162,-9.9413,-9.9413,0.0000,-0.1711,-0.1711,0.4130
0.131,1.0288,1.0288,-0.0162,-9.8817,-9.8817,0.0000,-0.2333,-0.2333,0.4130
0.146,1.0288,1.0288,-0.0162,-9.7520,-9.7520,0.0000,-0.2333,-0.2333,0.4129
0.153,1.0275,1.0275,-0.0161,-9.6880,-9.6880,0.0000,-0.2908,-0.2908,0.4126
0.162,1.0275,1.0275,-0.0161,-9.6089,-9.6089,0.0000,-0.2908,-0.2908,0.4125
0.166,1.0275,1.0275,-0.0161,-9.5779,-9.5779,0.0000,-0.2908,-0.2908,0.4123
0.169,1.0275,1.0275,-0.0161,-9.5489,-9.5489,0.0000,-0.2908,-0.2908,0.4122
0.173,1.0267,1.0267,-0.0161,-9.5146,-9.5146,0.0000,-0.3353,-0.3353,0.4121
0.177,1.0267,1.0267,-0.0161,-9.4795,-9.4795,0.0000,-0.3353,-0.3353,0.4121
0.181,1.0267,1.0267,-0.0161,-9.4411,-9.4411,0.0000,-0.3353,-0.3353,0.4120
0.185,1.0267,1.0267,-0.0160,-9.4093,-9.4093,0.0000,-0.3353,-0.3353,0.4119
0.188,1.0267,1.0267,-0.0160,-9.3779,-9.3779,0.0000,-0.3353,-0.3353,0.4118
0.192,1.0245,1.0245,-0.0160,-9.3424,-9.3424,0.0000,-0.4161,-0.4161,0.4117
