Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,-0.0356,0.0033,-0.0361,-3.3527,0.3034,0.3034,0.3910,0.0000,0.1220
0.007,-0.0341,0.0032,-0.0364,-3.3322,0.3017,0.3017,0.3910,0.0000,0.1220
0.012,-0.0332,0.0031,-0.0367,-3.3213,0.2999,0.2999,0.3910,0.0000,0.1220
0.016,-0.0323,0.0030,-0.0369,-3.3098,0.2989,0.2989,0.3910,0.0000,0.1220
0.022,-0.0313,0.0029,-0.0371,-3.2977,0.2979,0.2979,0.3011,0.0000,0.1220
0.027,-0.0304,0.0028,-0.0373,-3.2870,0.2968,0.2968,0.3011,0.0000,0.1220
0.034,-0.0291,0.0027,-0.0375,-3.2729,0.2958,0.2958,0.3011,0.0000,0.1220
0.044,-0.0274,0.0026,-0.0378,-3.2569,0.2946,0.2946,0.2838,0.0000,0.1220
0.050,-0.0265,0.0025,-0.0381,-3.2482,0.2931,0.2931,0.2838,0.0000,0.1220
0.056,-0.0255,0.0024,-0.0384,-3.2403,0.2923,0.2923,0.2838,0.0000,0.1220
0.060,-0.0248,0.0023,-0.0386,-3.2354,0.2916,0.2916,0.2611,0.0000,0.1220
0.066,-0.0240,0.0022,-0.0388,-3.2299,0.2912,0.2912,0.2611,0.0000,0.1220
0.076,-0.0227,0.0022,-0.0390,-3.2232,0.2907,0.2907,0.2611,0.0000,0.1220
0.082,-0.0219,0.0020,-0.0393,-3.2202,0.2901,0.2901,0.1717,0.0000,0.1220
0.087,-0.0212,0.0020,-0.0395,-3.2183,0.2898,0.2898,0.1717,0.0000,0.1220
0.091,-0.0207,0.0019,-0.0397,-3.2174,0.2896,0.2896,0.1717,0.0000,0.1220
0.094,-0.0203,0.0019,-0.0399,-3.2169,0.2896,0.2896,0.1717,0.0000,0.1220
0.098,-0.0198,0.0018,-0.0400,-3.2168,0.2895,0.2895,0.0716,0.0000,0.1220
0.104,-0.0192,0.0018,-0.0401,-3.2175,0.2895,0.2895,0.0716,0.0000,0.1220
0.107,-0.0188,0.0017,-0.0403,-3.2184,0.2896,0.2896,0.0716,0.0000,0.1220
0.111,-0.0184,0.0017,-0.0404,-3.2196,0.2897,0.2897,0.0716,0.0000,0.1220
0.114,-0.0181,0.0017,-0.0406,-3.2211,0.2898,0.2898,0.0716,0.0000,0.1220
0.118,-0.0177,0.0016,-0.0407,-3.2229,0.2899,0.2899,0.0370,0.0000,0.1220
0.122,-0.0172,0.0016,-0.0408,-3.2263,0.2901,0.2901,0.0370,0.0000,0.1220
0.126,-0.0168,0.0015,-0.0410,-3.2292,0.2904,0.2904,0.0370,0.0000,0.1220
0.130,-0.0165,0.0015,-0.0411,-3.2324,0.2906,0.2906,0.0370,0.0000,0.1220
0.133,-0.0162,0.0015,-0.0412,-3.2357,0.2909,0.2909,0.0370,0.0000,0.1220
0.136,-0.0159,0.0015,-0.0413,-3.2394,0.2912,0.2912,0.0370,0.0000,0.1220
0.140,-0.0155,0.0014,-0.0414,-3.2443,0.2915,0.2915,-0.0051,0.0000,0.1220
0.145,-0.0150,0.0014,-0.0415,-3.2517,0.2920,0.2920,-0.0051,0.0000,0.1220
0.152,-0.0144,0.0014,-0.0417,-3.2632,0.2927,0.2927,-0.0051,0.0000,0.1220
0.157,-0.0140,0.0013,-0.0419,-3.2706,0.2937,0.2937,-0.0051,0.0000,0.1220
