Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,0.0000,0.0000,0.0000,-5.2802,0.0000,-5.2802,-0.3641
0.007,0.0000,0.0000,0.0000,-5.2077,0.0000,-5.2077,-0.3641
0.012,0.0000,0.0000,0.0000,-5.1642,0.0000,-5.1642,-0.4541
0.018,0.0000,0.0000,0.0000,-5.1212,0.0000,-5.1212,-0.4541
0.023,0.0000,0.0000,0.0000,-5.0975,0.0000,-5.0975,-0.4541
0.027,0.0000,0.0000,0.0000,-5.0835,0.0000,-5.0835,-0.4541
0.030,0.0000,0.0000,0.0000,-5.0743,0.0000,-5.0743,-0.5400
0.035,0.0000,0.0000,0.0000,-5.0684,0.0000,-5.0684,-0.5400
0.038,0.0000,0.0000,0.0000,-5.0674,0.0000,-5.0674,-0.5400
0.042,0.0000,0.0000,0.0000,-5.0699,0.0000,-5.0699,-0.5400
0.045,0.0000,0.0000,0.0000,-5.0755,0.0000,-5.0755,-0.5400
0.048,0.0000,0.0000,0.0000,-5.0854,0.0000,-5.0854,-0.5400
0.052,0.0000,0.0000,0.0000,-5.0992,0.0000,-5.0992,-0.6355
0.056,0.0000,0.0000,0.0000,-5.1192,0.0000,-5.1192,-0.6355
0.068,0.0000,0.0000,0.0000,-5.1776,0.0000,-5.1776,-0.6355
0.073,0.0000,0.0000,0.0000,-5.1991,0.0000,-5.1991,-0.7221
0.078,0.0000,0.0000,0.0000,-5.2191,0.0000,-5.2191,-0.7221
0.082,0.0000,0.0000,0.0000,-5.2336,0.0000,-5.2336,-0.7221
0.087,0.0000,0.0000,0.0000,-5.2497,0.0000,-5.2497,-0.7221
0.093,0.0000,0.0000,0.0000,-5.2680,0.0000,-5.2680,-0.7992
0.099,0.0000,0.0000,0.0000,-5.2843,0.0000,-5.2843,-0.7992
0.103,0.0000,0.0000,0.0000,-5.2933,0.0000,-5.2933,-0.7992
0.106,0.0000,0.0000,0.0000,-5.3006,0.0000,-5.3006,-0.7992
0.109,0.0000,0.0000,0.0000,-5.3070,0.0000,-5.3070,-0.8722
0.113,0.0000,0.0000,0.0000,-5.3133,0.0000,-5.3133,-0.8722
0.117,0.0000,0.0000,0.0000,-5.3187,0.0000,-5.3187,-0.8722
0.120,0.0000,0.0000,0.0000,-5.3229,0.0000,-5.3229,-0.8722
0.124,0.0000,0.0000,0.0000,-5.3263,0.0000,-5.3263,-0.8722
0.127,0.0000,0.0000,0.0000,-5.3290,0.0000,-5.3290,-0.8722
0.130,0.0000,0.0000,0.0000,-5.3311,0.0000,-5.3311,-0.9361
0.134,0.0000,0.0000,0.0000,-5.3327,0.0000,-5.3327,-0.9361
0.139,0.0000,0.0000,0.0000,-5.3331,0.0000,-5.3331,-0.9361
0.143,0.0000,0.0000,0.0000,-5.3327,0.0000,-5.3327,-0.9361
0.146,0.0000,0.0000,0.0000,-5.3315,0.0000,-5.3315,-0.9361
0.150,0.0000,0.0000,0.0000,-5.3295,0.0000,-5.3295,-1.0024
0.154,0.0000,0.0000,0.0000,-5.3265,0.0000,-5.3265,-1.0024
0.158,0.0000,0.0000,0.0000,-5.3226,0.0000,-5.3226,-1.0024
0.163,0.0000,0.0000,0.0000,-5.3159,0.0000,-5.3159,-1.0024
0.168,0.0000,0.0000,0.0000,-5.3077,0.0000,-5.3077,-1.0024
0.172,0.0000,0.0000,0.0000,-5.3015,0.0000,-5.3015,-1.0596
0.176,0.0000,0.0000,0.0000,-5.2937,0.0000,-5.2937,-1.0596
0.180,0.0000,0.0000,0.0000,-5.2857,0.0000,-5.2857,-1.0596
0.183,0.0000,0.0000,0.0000,-5.2767,0.0000,-5.2767,-1.0596
0.187,0.0000,0.0000,0.0000,-5.2679,0.0000,-5.2679,-1.0596
0.191,0.0000,0.0000,0.0000,-5.2556,0.0000,-5.2556,-1.1061
0.198,0.0000,0.0000,0.0000,-5.2352,0.0000,-5.2352,-1.1061
0.202,0.0000,0.0000,0.0000,-5.2233,0.0000,-5.2233,-1.1061
