Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,1.8114,0.0000,-0.0622,0.8159,-0.1036,0.0000,-0.3570,-0.3570,0.3816
0.004,1.8001,0.0000,-0.0622,0.8175,-0.1014,0.0000,-0.2031,-0.2031,0.3817
0.008,1.7892,0.0000,-0.0622,0.8164,-0.1014,0.0000,-0.2031,-0.2031,0.3817
0.011,1.7800,0.0000,-0.0622,0.8160,-0.1014,0.0000,-0.2031,-0.2031,0.3818
0.014,1.7705,0.0000,-0.0622,0.8151,-0.1014,0.0000,-0.2031,-0.2031,0.3819
0.018,1.7596,0.0000,-0.0622,0.8143,-0.1014,0.0000,-0.2031,-0.2031,0.3819
0.021,1.7501,0.0000,-0.0622,0.8138,-0.1014,0.0000,-0.2031,-0.2031,0.3820
0.025,1.7392,0.0000,-0.0622,0.8162,-0.0985,0.0000,-0.0307,-0.0307,0.3820
0.028,1.7282,0.0000,-0.0622,0.8157,-0.0985,0.0000,-0.0307,-0.0307,0.3821
0.032,1.7188,0.0000,-0.0622,0.8154,-0.0985,0.0000,-0.0307,-0.0307,0.3822
0.035,1.7075,0.0000,-0.0622,0.8150,-0.0985,0.0000,-0.0307,-0.0307,0.3823
0.039,1.6974,0.0000,-0.0622,0.8144,-0.0985,0.0000,-0.0307,-0.0307,0.3824
0.042,1.6881,0.0000,-0.0622,0.8138,-0.0985,0.0000,-0.0307,-0.0307,0.3825
0.045,1.6789,0.0000,-0.0622,0.8174,-0.0947,0.0000,0.1448,0.1448,0.3826
0.049,1.6676,0.0000,-0.0622,0.8173,-0.0947,0.0000,0.1448,0.1448,0.3827
0.052,1.6572,0.0000,-0.0622,0.8168,-0.0947,0.0000,0.1448,0.1448,0.3828
0.056,1.6458,0.0000,-0.0622,0.8163,-0.0947,0.0000,0.1448,0.1448,0.3829
0.059,1.6361,0.0000,-0.0622,0.8159,-0.0947,0.0000,0.1448,0.1448,0.3830
