Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,0.0000,0.0000,0.0000,0.0000,0.1607,0.1607,-0.8135
0.014,0.0000,0.0000,0.0000,0.0000,0.1636,0.1636,-0.8396
0.019,0.0000,0.0000,0.0000,0.0000,0.1636,0.1636,-0.8396
0.023,0.0000,0.0000,0.0000,0.0000,0.1636,0.1636,-0.8396
0.028,0.0000,0.0000,0.0000,0.0000,0.1636,0.1636,-0.8396
0.032,0.0000,0.0000,0.0000,0.0000,0.1664,0.1664,-0.8651
0.037,0.0000,0.0000,0.0000,0.0000,0.1664,0.1664,-0.8651
0.041,0.0000,0.0000,0.0000,0.0000,0.1664,0.1664,-0.8651
0.045,0.0000,0.0000,0.0000,0.0000,0.1664,0.1664,-0.8651
0.050,0.0000,0.0000,0.0000,0.0000,0.1692,0.1692,-0.8898
0.055,0.0000,0.0000,0.0000,0.0000,0.1692,0.1692,-0.8898
0.059,0.0000,0.0000,0.0000,0.0000,0.1692,0.1692,-0.8898
0.062,0.0000,0.0000,0.0000,0.0000,0.1692,0.1692,-0.8898
0.066,0.0000,0.0000,0.0000,0.0000,0.1692,0.1692,-0.8898
0.070,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.074,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.077,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.081,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.085,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.088,0.0000,0.0000,0.0000,0.0000,0.1719,0.1719,-0.9135
0.091,0.0000,0.0000,0.0000,0.0000,0.1729,0.1729,-0.9535
0.096,0.0000,0.0000,0.0000,0.0000,0.1729,0.1729,-0.9535
0.110,0.0000,0.0000,0.0000,0.0000,0.1678,0.1678,-1.0541
0.116,0.0000,0.0000,0.0000,0.0000,0.1678,0.1678,-1.0541
0.120,0.0000,0.0000,0.0000,0.0000,0.1678,0.1678,-1.0541
0.123,0.0000,0.0000,0.0000,0.0000,0.1678,0.1678,-1.0541
0.127,0.0000,0.0000,0.0000,0.0000,0.1678,0.1678,-1.0541
0.139,0.0000,0.0000,0.0000,0.0000,0.1631,0.1631,-1.1531
0.145,0.0000,0.0000,0.0000,0.0000,0.1631,0.1631,-1.1531
0.150,0.0000,0.0000,0.0000,0.0000,0.1593,0.1593,-1.2435
0.154,0.0000,0.0000,0.0000,0.0000,0.1593,0.1593,-1.2435
0.157,0.0000,0.0000,0.0000,0.0000,0.1593,0.1593,-1.2435
0.162,0.0000,0.0000,0.0000,0.0000,0.1593,0.1593,-1.2435
0.167,0.0000,0.0000,0.0000,0.0000,0.1593,0.1593,-1.2435
0.172,0.0000,0.0000,0.0000,0.0000,0.1564,0.1564,-1.3248
0.176,0.0000,0.0000,0.0000,0.0000,0.1564,0.1564,-1.3248
0.179,0.0000,0.0000,0.0000,0.0000,0.1564,0.1564,-1.3248
0.183,0.0000,0.0000,0.0000,0.0000,0.1564,0.1564,-1.3248
0.190,0.0000,0.0000,0.0000,0.0000,0.1544,0.1544,-1.3969
0.195,0.0000,0.0000,0.0000,0.0000,0.1544,0.1544,-1.3969
0.199,0.0000,0.0000,0.0000,0.0000,0.1544,0.1544,-1.3969
0.202,0.0000,0.0000,0.0000,0.0000,0.1544,0.1544,-1.3969
0.206,0.0000,0.0000,0.0000,0.0000,0.1544,0.1544,-1.3969
