Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,3.1196,0.2706,-0.0589,0.0960,0.0000,0.0000,3.7183,3.7183,0.4148
0.014,3.0767,0.2272,-0.0588,0.0968,0.0000,0.0000,3.1812,3.1812,0.4167
0.022,3.0769,0.2272,-0.0587,0.0973,0.0000,0.0000,3.1812,3.1812,0.4188
0.027,3.0771,0.2272,-0.0586,0.0976,0.0000,0.0000,3.1812,3.1812,0.4198
0.038,3.0648,0.2147,-0.0586,0.0985,0.0000,0.0000,3.0907,3.0907,0.4206
0.044,3.0650,0.2147,-0.0585,0.0990,0.0000,0.0000,3.0907,3.0907,0.4221
0.049,3.0651,0.2147,-0.0585,0.0963,0.0000,0.0000,3.0907,3.0907,0.4230
0.054,3.0307,0.1802,-0.0584,0.0968,0.0000,0.0000,2.5913,2.5913,0.4236
0.058,3.0308,0.1802,-0.0584,0.0973,0.0000,0.0000,2.5913,2.5913,0.4242
0.062,3.0309,0.1802,-0.0584,0.0978,0.0000,0.0000,2.5913,2.5913,0.4247
0.068,3.0310,0.1802,-0.0584,0.0984,0.0000,0.0000,2.5913,2.5913,0.4251
0.072,3.0311,0.1802,-0.0583,0.0989,0.0000,0.0000,2.5913,2.5913,0.4257
0.079,3.0304,0.1793,-0.0583,0.0947,0.0000,0.0000,2.7046,2.7046,0.4262
0.086,3.0305,0.1793,-0.0583,0.0909,0.0000,0.0000,2.7046,2.7046,0.4270
0.090,3.0306,0.1793,-0.0583,0.0917,0.0000,0.0000,2.7046,2.7046,0.4278
0.094,3.0031,0.1517,-0.0582,0.0925,0.0000,0.0000,2.2276,2.2276,0.4282
0.100,3.0032,0.1517,-0.0582,0.0936,0.0000,0.0000,2.2276,2.2276,0.4286
0.105,3.0032,0.1517,-0.0582,0.0945,0.0000,0.0000,2.2276,2.2276,0.4291
0.109,3.0033,0.1517,-0.0582,0.0920,0.0000,0.0000,2.2276,2.2276,0.4295
0.114,2.9882,0.1365,-0.0582,0.0919,0.0000,0.0000,1.9954,1.9954,0.4299
0.120,2.9883,0.1365,-0.0582,0.0919,0.0000,0.0000,1.9954,1.9954,0.4302
0.125,2.9883,0.1365,-0.0581,0.0919,0.0000,0.0000,1.9954,1.9954,0.4307
0.129,2.9884,0.1365,-0.0581,0.0919,0.0000,0.0000,1.9954,1.9954,0.4310
0.135,2.9900,0.1380,-0.0581,0.1022,0.0102,0.0000,2.1788,2.1788,0.4313
0.144,2.9901,0.1380,-0.0581,0.1024,0.0102,0.0102,2.1788,2.1788,0.4319
0.148,2.9901,0.1380,-0.0581,0.1025,0.0102,0.0102,2.1788,2.1788,0.4326
0.153,2.9775,0.1253,-0.0581,0.1001,0.0106,0.0102,1.9790,1.9790,0.4329
0.162,2.9776,0.1253,-0.0581,0.1006,0.0106,0.0106,1.9790,1.9790,0.4333
0.169,2.9777,0.1253,-0.0581,0.1010,0.0106,0.0106,1.9790,1.9790,0.4339
0.174,2.9731,0.1206,-0.0580,0.1065,0.0187,0.0106,1.9872,1.9872,0.4344
0.179,2.9731,0.1206,-0.0580,0.1070,0.0187,0.0187,1.9872,1.9872,0.4347
0.185,2.9732,0.1206,-0.0580,0.1037,0.0187,0.0187,1.9872,1.9872,0.4351
0.190,2.9732,0.1206,-0.0580,0.1043,0.0187,0.0187,1.9872,1.9872,0.4355
0.195,2.9608,0.1082,-0.0580,0.1045,0.0184,0.0187,1.7844,1.7844,0.4359
0.202,2.9609,0.1082,-0.0580,0.1053,0.0184,0.0184,1.7844,1.7844,0.4361
0.207,2.9609,0.1082,-0.0580,0.1027,0.0184,0.0184,1.7844,1.7844,0.4365
0.211,2.9610,0.1082,-0.0580,0.1032,0.0184,0.0184,1.7844,1.7844,0.4368
0.217,2.9487,0.0959,-0.0580,0.1037,0.0180,0.0184,1.5844,1.5844,0.4370
0.223,2.9488,0.0959,-0.0580,0.1008,0.0180,0.0180,1.5844,1.5844,0.4374
0.228,2.9488,0.0959,-0.0580,0.0981,0.0180,0.0180,1.5844,1.5844,0.4376
0.234,2.9365,0.0835,-0.0580,0.0945,0.0172,0.0180,1.3862,1.3862,0.4379
