Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,0.0000,0.0000,-0.0618,-2.8791,-2.8791,-2.9038,1.3812,1.3812,0.6311
0.007,0.0000,0.0000,-0.0618,-2.8568,-2.8568,-2.8791,1.3812,1.3812,0.6313
0.011,0.0001,0.0001,-0.0618,-2.8435,-2.8435,-2.8568,1.3812,1.3812,0.6317
0.015,0.0005,0.0005,-0.0618,-2.8320,-2.8320,-2.8435,1.3812,1.3812,0.6319
0.018,0.0015,0.0015,-0.0618,-2.8092,-2.8092,-2.8320,1.2759,1.2759,0.6320
0.023,0.0042,0.0042,-0.0618,-2.7925,-2.7925,-2.8092,1.2759,1.2759,0.6322
0.027,0.0081,0.0081,-0.0618,-2.7773,-2.7773,-2.7925,1.2759,1.2759,0.6323
0.031,0.0133,0.0133,-0.0618,-2.7634,-2.7634,-2.7773,1.2759,1.2759,0.6325
0.035,0.0204,0.0204,-0.0619,-2.7487,-2.7487,-2.7634,1.2759,1.2759,0.6327
0.038,0.0292,0.0292,-0.0619,-2.7210,-2.7210,-2.7487,0.9965,0.9965,0.6328
0.045,0.0493,0.0493,-0.0619,-2.6953,-2.6953,-2.7210,0.9965,0.9965,0.6329
0.053,0.0847,0.0847,-0.0619,-2.6614,-2.6614,-2.6953,0.9965,0.9965,0.6331
0.058,0.1110,0.1110,-0.0618,-2.6314,-2.6314,-2.6614,0.8853,0.8853,0.6333
0.063,0.1413,0.1413,-0.0618,-2.6116,-2.6116,-2.6314,0.8853,0.8853,0.6334
0.067,0.1700,0.1700,-0.0618,-2.5952,-2.5952,-2.6116,0.8853,0.8853,0.6335
0.071,0.2001,0.2001,-0.0617,-2.5796,-2.5796,-2.5952,0.8853,0.8853,0.6336
0.075,0.2367,0.2367,-0.0617,-2.5626,-2.5626,-2.5796,0.8853,0.8853,0.6336
0.079,0.2732,0.2732,-0.0617,-2.5375,-2.5375,-2.5626,0.7783,0.7783,0.6337
0.083,0.3234,0.3234,-0.0616,-2.5182,-2.5182,-2.5375,0.7783,0.7783,0.6338
0.087,0.3693,0.3693,-0.0615,-2.5020,-2.5020,-2.5182,0.7783,0.7783,0.6338
0.091,0.4139,0.4139,-0.0615,-2.4875,-2.4875,-2.5020,0.7783,0.7783,0.6339
0.095,0.4694,0.4694,-0.0614,-2.4707,-2.4707,-2.4875,0.7783,0.7783,0.6339
0.099,0.5192,0.5192,-0.0613,-2.4476,-2.4476,-2.4707,0.6733,0.6733,0.6340
0.103,0.5808,0.5808,-0.0612,-2.4308,-2.4308,-2.4476,0.6733,0.6733,0.6340
0.107,0.6290,0.6290,-0.0611,-2.4174,-2.4174,-2.4308,0.6733,0.6733,0.6341
0.111,0.6885,0.6885,-0.0610,-2.4007,-2.4007,-2.4174,0.6733,0.6733,0.6341
0.115,0.7347,0.7347,-0.0608,-2.3876,-2.3876,-2.4007,0.6733,0.6733,0.6341
0.118,0.7782,0.7782,-0.0607,-2.3682,-2.3682,-2.3876,0.6752,0.6752,0.6342
0.123,0.8328,0.8328,-0.0606,-2.3523,-2.3523,-2.3682,0.6752,0.6752,0.6342
