Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,0.4534,1.2383,0.0058,-10.8305,-3.8782,0.0000,1.0919,1.0919,0.4376
0.006,0.4820,1.2383,0.0058,-10.8325,-3.8782,0.0000,1.0919,1.0919,0.4377
0.010,0.4986,1.2383,0.0057,-10.8341,-3.8782,0.0000,1.0919,1.0919,0.4378
0.014,0.4952,1.2213,0.0057,-10.8955,-3.9381,0.0000,0.9683,0.9683,0.4379
0.017,0.5102,1.2213,0.0056,-10.8975,-3.9381,0.0000,0.9683,0.9683,0.4380
0.020,0.5226,1.2213,0.0056,-10.8994,-3.9381,0.0000,0.9683,0.9683,0.4380
0.023,0.5346,1.2213,0.0056,-10.9014,-3.9381,0.0000,0.9683,0.9683,0.4381
0.029,0.5548,1.2213,0.0055,-10.9055,-3.9381,0.0000,0.9683,0.9683,0.4381
0.032,0.5500,1.2029,0.0055,-10.9601,-3.9897,0.0000,0.7304,0.7304,0.4382
0.036,0.5642,1.2029,0.0054,-10.9636,-3.9897,0.0000,0.7304,0.7304,0.4382
0.039,0.5756,1.2029,0.0054,-10.9667,-3.9897,0.0000,0.7304,0.7304,0.4382
0.043,0.5898,1.2029,0.0054,-10.9708,-3.9897,0.0000,0.7304,0.7304,0.4382
0.047,0.6020,1.2029,0.0053,-10.9745,-3.9897,0.0000,0.7304,0.7304,0.4382
0.050,0.6128,1.2029,0.0053,-10.9781,-3.9897,0.0000,0.7304,0.7304,0.4382
0.053,0.6106,1.1900,0.0053,-11.0490,-4.0569,0.0000,0.7509,0.7509,0.4383
0.059,0.6291,1.1900,0.0052,-11.0561,-4.0569,0.0000,0.7509,0.7509,0.4383
0.063,0.6418,1.1900,0.0051,-11.0612,-4.0569,0.0000,0.7509,0.7509,0.4383
0.066,0.6519,1.1900,0.0051,-11.0655,-4.0569,0.0000,0.7509,0.7509,0.4383
0.069,0.6615,1.1900,0.0051,-11.0697,-4.0569,0.0000,0.7509,0.7509,0.4383
0.072,0.6556,1.1747,0.0050,-11.1284,-4.1112,0.0000,0.6057,0.6057,0.4383
