Time,Car_Surge,Ship_Surge,Total_Surge,Car_Sway,Ship_Sway,Total_Sway,Total_Heave
0.000,-0.0898,0.0000,-0.0898,-5.4038,-0.0284,-5.4322,0.5787
0.010,0.0643,0.0000,0.0643,-5.5646,-0.0421,-5.6067,0.5697
0.016,-0.0281,0.0000,-0.0281,-5.6451,-0.0421,-5.6872,0.5697
0.021,0.0428,0.0000,0.0428,-5.7111,-0.0421,-5.7532,0.5697
0.028,-0.0597,0.0000,-0.0597,-5.7880,-0.0421,-5.8301,0.5697
0.033,0.0079,0.0000,0.0079,-5.8400,-0.0428,-5.8828,0.4195
0.039,-0.0919,0.0000,-0.0919,-5.9002,-0.0428,-5.9430,0.4195
0.047,0.0232,0.0000,0.0232,-5.9706,-0.0428,-6.0134,0.4195
0.063,-0.2291,0.0000,-0.2291,-6.0577,-0.0524,-6.1101,0.3725
0.069,-0.1473,0.0000,-0.1473,-6.0840,-0.0524,-6.1364,0.3725
0.074,-0.0700,0.0000,-0.0700,-6.1093,-0.0513,-6.1606,0.2139
0.080,0.0160,0.0000,0.0160,-6.1377,-0.0513,-6.1890,0.2139
0.085,-0.0618,0.0000,-0.0618,-6.1566,-0.0513,-6.2079,0.2139
0.090,0.0167,0.0000,0.0167,-6.1765,-0.0501,-6.2266,0.0557
0.097,-0.0902,0.0000,-0.0902,-6.1928,-0.0501,-6.2428,0.0557
0.103,0.0024,0.0000,0.0024,-6.2076,-0.0501,-6.2576,0.0557
0.111,0.1061,0.0000,0.1061,-6.2249,-0.0537,-6.2786,-0.0444
0.117,0.0056,0.0000,0.0056,-6.2324,-0.0537,-6.2862,-0.0444
0.146,-0.4376,0.0000,-0.4376,-6.1353,-0.0616,-6.1968,-0.0927
0.157,-0.2499,0.0000,-0.2499,-6.1055,-0.0666,-6.1721,-0.1650
0.173,-0.0099,0.0000,-0.0099,-6.0728,-0.0705,-6.1433,-0.2450
0.179,0.0784,0.0000,0.0784,-6.0617,-0.0705,-6.1321,-0.2450
0.184,0.0002,0.0000,0.0002,-6.0494,-0.0705,-6.1199,-0.2450
0.188,0.0583,0.0000,0.0583,-6.0401,-0.0705,-6.1105,-0.2450
0.193,-0.0237,0.0000,-0.0237,-6.0245,-0.0733,-6.0978,-0.3310
0.198,0.0495,0.0000,0.0495,-6.0105,-0.0733,-6.0838,-0.3310
0.203,-0.0304,0.0000,-0.0304,-5.9931,-0.0733,-6.0664,-0.3310
0.209,0.0457,0.0000,0.0457,-5.9765,-0.0733,-6.0498,-0.3310
0.214,-0.0374,0.0000,-0.0374,-5.9565,-0.0759,-6.0324,-0.4153
0.221,0.0583,0.0000,0.0583,-5.9336,-0.0759,-6.0094,-0.4153
0.228,-0.0625,0.0000,-0.0625,-5.9002,-0.0759,-5.9761,-0.4153
0.234,0.0246,0.0000,0.0246,-5.8766,-0.0783,-5.9549,-0.4959
0.241,0.1214,0.0000,0.1214,-5.8516,-0.0783,-5.9299,-0.4959
0.246,0.0424,0.0000,0.0424,-5.8312,-0.0783,-5.9095,-0.4959
0.252,-0.0407,0.0000,-0.0407,-5.8064,-0.0807,-5.8872,-0.5721
0.260,0.0796,0.0000,0.0796,-5.7712,-0.0807,-5.8519,-0.5721
0.275,-0.1634,0.0000,-0.1634,-5.6824,-0.0831,-5.7655,-0.6435
0.291,0.0742,0.0000,0.0742,-5.6075,-0.0855,-5.6930,-0.7097
0.298,-0.0375,0.0000,-0.0375,-5.5711,-0.0855,-5.6566,-0.7097
0.303,0.0299,0.0000,0.0299,-5.5489,-0.0855,-5.6344,-0.7097
