Time,Input_Surge,Applied_Surge,Output_Surge,Input_Sway,Applied_Sway,Output_Sway,Input_Heave,Applied_Heave,Output_Heave
0.000,-2.8980,-2.8980,-0.0780,-1.4156,-1.6593,0.0000,0.0773,0.0000,0.4128
0.008,-2.9053,-2.9053,-0.0786,-1.4868,-1.7306,0.0000,0.0773,0.0000,0.4128
0.011,-2.9087,-2.9087,-0.0795,-1.5209,-1.7647,0.0000,0.0773,0.0000,0.4127
0.016,-2.9126,-2.9126,-0.0800,-1.5650,-1.8088,0.0000,0.0773,0.0000,0.4127
0.019,-2.9157,-2.9157,-0.0806,-1.6014,-1.8471,0.0000,0.1918,0.0000,0.4127
0.023,-2.9191,-2.9191,-0.0810,-1.6479,-1.8936,0.0000,0.1918,0.0000,0.4127
0.027,-2.9220,-2.9220,-0.0815,-1.6916,-1.9373,0.0000,0.1918,0.0000,0.4126
0.031,-2.9252,-2.9252,-0.0819,-1.7440,-1.9897,0.0000,0.1918,0.0000,0.4126
0.034,-2.9280,-2.9280,-0.0824,-1.7940,-2.0397,0.0000,0.1918,0.0000,0.4126
0.037,-2.9306,-2.9306,-0.0829,-1.8448,-2.0905,0.0000,0.1918,0.0000,0.4126
0.041,-2.9332,-2.9332,-0.0833,-1.8970,-2.1442,0.0000,0.3032,0.0000,0.4125
0.045,-2.9361,-2.9361,-0.0837,-1.9641,-2.2113,0.0000,0.3032,0.0000,0.4125
0.049,-2.9391,-2.9391,-0.0842,-2.0348,-2.2821,0.0000,0.3032,0.0000,0.4125
0.053,-2.9423,-2.9423,-0.0847,-2.1178,-2.3651,0.0000,0.3032,0.0000,0.4125
0.061,-2.9474,-2.9474,-0.0852,-2.2611,-2.5098,0.0000,0.4176,0.0000,0.4125
0.065,-2.9504,-2.9504,-0.0861,-2.3340,-2.5827,0.0000,0.4176,0.0000,0.4124
0.069,-2.9526,-2.9526,-0.0867,-2.3728,-2.6215,0.0000,0.4176,0.0000,0.4124
0.072,-2.9548,-2.9548,-0.0871,-2.3959,-2.6446,0.0000,0.4176,0.0000,0.4124
0.075,-2.9569,-2.9569,-0.0875,-2.4043,-2.6530,0.0000,0.4176,0.0000,0.4123
0.079,-2.9591,-2.9591,-0.0879,-2.3956,-2.6456,0.0000,0.5338,0.0000,0.4123
0.083,-2.9617,-2.9617,-0.0883,-2.3629,-2.6129,0.0000,0.5338,0.0000,0.4123
0.087,-2.9637,-2.9637,-0.0889,-2.3246,-2.5746,0.0000,0.5338,0.0000,0.4123
0.090,-2.9656,-2.9656,-0.0893,-2.2721,-2.5221,0.0000,0.5338,0.0000,0.4122
0.093,-2.9674,-2.9674,-0.0897,-2.2119,-2.4619,0.0000,0.5338,0.0000,0.4122
0.097,-2.9695,-2.9695,-0.0900,-2.1340,-2.3840,0.0000,0.5338,0.0000,0.4122
0.101,-2.9715,-2.9715,-0.0905,-2.0588,-2.3098,0.0000,0.6510,0.0000,0.4122
0.105,-2.9737,-2.9737,-0.0910,-1.9848,-2.2358,0.0000,0.6510,0.0000,0.4122
0.109,-2.9754,-2.9754,-0.0915,-1.9317,-2.1827,0.0000,0.6510,0.0000,0.4121
0.112,-2.9771,-2.9771,-0.0918,-1.8815,-2.1325,0.0000,0.6510,0.0000,0.4121
0.116,-2.9789,-2.9789,-0.0922,-1.8338,-2.0848,0.0000,0.6510,0.0000,0.4121
0.120,-2.9808,-2.9808,-0.0927,-1.7925,-2.0428,0.0000,0.7412,0.0000,0.4121
0.124,-2.9827,-2.9827,-0.0931,-1.7554,-2.0058,0.0000,0.7412,0.0000,0.4121
0.129,-2.9852,-2.9852,-0.0936,-1.7214,-1.9717,0.0000,0.7412,0.0000,0.4120
0.134,-2.9872,-2.9872,-0.0942,-1.7058,-1.9561,0.0000,0.7412,0.0000,0.4120
0.142,-2.9904,-2.9904,-0.0948,-1.7192,-1.9671,0.0000,0.8053,0.0000,0.4120
0.147,-2.9928,-2.9928,-0.0956,-1.7524,-2.0003,0.0000,0.8053,0.0000,0.4119
0.151,-2.9942,-2.9942,-0.0963,-1.7825,-2.0305,0.0000,0.8053,0.0000,0.4119
0.154,-2.9955,-2.9955,-0.0967,-1.8204,-2.0683,0.0000,0.8053,0.0000,0.4119
