Time,Input_Surge,Gain_Surge,Output_Surge,Input_Sway,Gain_Sway,Output_Sway,Input_Heave,Gain_Heave,Output_Heave
0.000,-0.0001,0.0000,-0.0616,-8.6654,-0.7890,-0.7890,-0.3662,0.0000,0.1220
0.005,-0.0001,0.0000,-0.0616,-8.6219,-0.7860,-0.7860,-0.3662,0.0000,0.1220
0.009,-0.0001,0.0000,-0.0616,-8.5930,-0.7821,-0.7821,-0.3662,0.0000,0.1220
0.012,-0.0001,0.0000,-0.0616,-8.5613,-0.7795,-0.7795,-0.3662,0.0000,0.1220
0.016,-0.0001,0.0000,-0.0616,-8.5275,-0.7766,-0.7766,-0.3662,0.0000,0.1220
0.019,-0.0001,0.0000,-0.0616,-8.4964,-0.7736,-0.7736,-0.3662,0.0000,0.1220
0.023,-0.0001,0.0000,-0.0616,-8.4638,-0.7708,-0.7708,-0.3814,0.0000,0.1220
0.027,-0.0001,0.0000,-0.0616,-8.4183,-0.7679,-0.7679,-0.3814,0.0000,0.1220
0.031,-0.0001,0.0000,-0.0616,-8.3814,-0.7638,-0.7638,-0.3814,0.0000,0.1220
0.036,-0.0001,0.0000,-0.0616,-8.3335,-0.7604,-0.7604,-0.3814,0.0000,0.1220
0.043,-0.0001,0.0000,-0.0616,-8.2552,-0.7561,-0.7561,-0.3995,0.0000,0.1220
0.047,-0.0001,0.0000,-0.0616,-8.2083,-0.7490,-0.7490,-0.3995,0.0000,0.1220
0.050,-0.0001,0.0000,-0.0616,-8.1693,-0.7448,-0.7448,-0.3995,0.0000,0.1220
0.054,-0.0001,0.0000,-0.0616,-8.1307,-0.7413,-0.7413,-0.3995,0.0000,0.1220
0.057,-0.0001,0.0000,-0.0616,-8.0896,-0.7378,-0.7378,-0.3995,0.0000,0.1220
0.061,-0.0001,0.0000,-0.0616,-8.0498,-0.7341,-0.7341,-0.4205,0.0000,0.1220
0.065,-0.0001,0.0000,-0.0616,-7.9998,-0.7305,-0.7305,-0.4205,0.0000,0.1220
0.070,-0.0001,0.0000,-0.0616,-7.9378,-0.7260,-0.7260,-0.4205,0.0000,0.1220
0.075,-0.0001,0.0000,-0.0616,-7.8759,-0.7204,-0.7204,-0.4205,0.0000,0.1220
0.079,-0.0001,0.0000,-0.0616,-7.8281,-0.7148,-0.7148,-0.4205,0.0000,0.1220
0.083,-0.0001,0.0000,-0.0617,-7.7806,-0.7105,-0.7105,-0.4444,0.0000,0.1220
0.088,-0.0001,0.0000,-0.0617,-7.7185,-0.7061,-0.7061,-0.4444,0.0000,0.1220
0.092,-0.0001,0.0000,-0.0617,-7.6660,-0.7005,-0.7005,-0.4444,0.0000,0.1220
0.096,-0.0001,0.0000,-0.0617,-7.6227,-0.6958,-0.6958,-0.4444,0.0000,0.1220
0.099,-0.0001,0.0000,-0.0617,-7.5731,-0.6919,-0.6919,-0.4444,0.0000,0.1220
0.103,-0.0001,0.0000,-0.0617,-7.5242,-0.6874,-0.6874,-0.4902,0.0000,0.1220
0.107,-0.0001,0.0000,-0.0617,-7.4731,-0.6829,-0.6829,-0.4902,0.0000,0.1220
